drillhole,date,block,easting,northing,elev,x,y,z
T1YB5548,2009-10-12,D009,650,800,191.14,586774.464,1052365.207,201.026
T1YB5549,2009-10-10,D005,550,475,199.05,586663.779,1052686.725,212.232
T1YB5550,2009-10-10,D009,600,775,181.19,586723.665,1052388.541,185.518
T1YB5551,2009-10-13,D009,825,600,303.95,586942.759,1052570.881,301.723
T1YB5552,2009-10-12,D005,525,425,202.43,586637.14,1052735.872,197.106
T1YB5553,2009-10-12,D007,175,750,407.95,587197.579,1052429.224,412.454
T1YB5554,2009-10-12,E002,550,100,259.1,586681.127,1052162.012,270.33
T1YB5555,2009-10-12,E002,500,75,240.86,586630.328,1052185.346,254.243
T1YB5556,2009-10-12,D005,500,375,196.29,586610.502,1052785.019,197.933
T1YB5557,2009-10-13,D008,525,875,220.39,586652.01,1052286.118,232.221
T1YB5558,2009-10-15,D006,675,475,258.49,586788.711,1052690.856,266.674
T1YB5559,2009-10-13,D014,25,525,368.39,587040.226,1052649.144,360.504
T1YB5560,2009-10-14,E003,725,0,231.24,586852.727,1052267.74,229.598
T1YB5561,2009-10-14,D006,875,475,348.82,586988.601,1052697.465,350.31
T1YB5562,2009-10-14,D017,175,775,409.14,587198.405,1052404.237,411.489
T1YB5563,2009-10-13,D005,550,425,208.49,586662.127,1052736.698,203.286
T1YB5564,2009-10-14,D006,825,550,321.81,586941.107,1052620.854,310.875
T1YB5565,2009-10-14,E002,575,125,367.94,586706.939,1052137.852,277.532
T1YB5566,2009-10-14,E002,575,125,270.11,586756.912,1052139.504,275.78
T1YB5567,2009-10-14,D017,225,825,415.24,587250.03,1052355.917,413.582
T1YB5568,2009-10-15,D009,650,825,193.44,586775.29,1052340.221,205.944
T1YB5569,2009-10-14,D008,575,750,179.45,586697.852,1052412.702,178.194
T1YB5570,2009-10-15,D006,725,450,277.05,586837.857,1052717.495,285.444
T1YB5571,2009-10-15,D008,500,825,203.58,586625.372,1052335.264,216.93
T1YB5572,2009-10-16,D006,600,325,219.05,586708.795,1052838.296,217.938
T1YB5573,2009-10-15,D017,150,875,385,587176.723,1052303.466,397.707
T1YB5574,2009-10-15,D003,675,75,201.62,586775.493,1053090.638,202.069
T1YB5575,2009-10-15,D002,575,100,182.08,586676.374,1053062.347,190.287
T1YB5576,2009-10-15,D008,525,850,211.96,586651.184,1052311.104,224.903
T1YB5577,2009-10-16,D008,500,800,195.53,586624.546,1052360.251,208.402
T1YB5578,2009-10-16,D008,550,875,219.82,586676.997,1052286.944,229.29
T1YB5579,2009-10-22,D017,225,875,406.7,587251.683,1052305.944,414.032
T1YB5580,2009-10-16,D017,200,800,413.12,587224.218,1052380.077,414.059
T1YB5581,2009-10-16,D006,875,450,342.45,586987.775,1052722.451,352.708
T1YB5582,2009-10-19,D002,500,275,196.27,586607.198,1052884.964,198.593
T1YB5583,2009-10-16,E003,625,0,209.73,586752.782,1052264.436,225.646
T1YB5584,2009-10-17,D009,850,625,313.32,586968.572,1052546.721,308.205
T1YB5585,2009-10-19,D008,525,775,183.43,586648.706,1052386.063,195.47
T1YB5586,2009-10-19,D006,825,525,327.66,586940.281,1052645.84,317.749
T1YB5587,2009-10-19,D014,0,525,362.21,587015.24,1052648.318,350.407
T1YB5588,2009-10-19,D017,200,825,411.77,587225.044,1052355.091,409.318
T1YB5589,2009-10-19,D017,225,850,411.82,587250.856,1052330.931,415.816
T1YB5590,2009-10-19,D017,175,800,404.38,587199.232,1052379.251,408.998
T1YB5591,2009-10-17,D008,575,725,180.81,586697.026,1052437.688,181.407
T1YB5592,2009-10-19,D009,625,625,225.65,586743.695,1052539.286,210.559
T1YB5593,2009-10-20,D006,675,500,200.72,586789.537,1052665.87,265.484
T1YB5594,2009-10-20,D006,875,500,352.98,586989.428,1052672.478,342.204
T1YB5595,2009-10-19,D009,650,850,194.41,586776.116,1052315.235,204.878
T1YB5596,2009-10-20,D008,575,875,219.03,586701.983,1052287.77,223.88
T1YB5597,2009-10-19,D006,725,475,281.3,586838.683,1052692.508,285.406
T1YB5598,2009-10-20,D005,550,375,202.91,586660.475,1052786.671,211.463
T1YB5599,2009-10-20,D008,525,825,201.72,586650.358,1052336.09,216.189
T1YB5600,2009-10-20,D006,875,550,285.71,586991.08,1052622.506,338.081
T1YB5601,2009-10-21,D002,575,125,183.19,586677.2,1053037.36,197.318
T1YB5602,2009-10-21,D008,575,825,195.55,586700.331,1052337.743,208.65
T1YB5603,2009-10-20,D009,625,800,184.26,586749.477,1052364.381,194.029
T1YB5604,2009-10-21,D008,575,850,206.45,586701.157,1052312.756,216.926
T1YB5605,2009-10-21,D005,525,400,199.74,586636.314,1052760.858,204.149
T1YB5606,2009-10-21,D017,175,875,389.96,587201.71,1052304.292,405.06
T1YB5607,2009-10-22,E006,600,125,270.91,586731.926,1052138.678,277.87
T1YB5608,2009-10-21,D017,175,825,403.24,587200.058,1052354.265,403.514
T1YB5609,2009-10-21,D014,25,550,366.57,587041.052,1052624.158,360.063
T1YB5610,2009-10-22,D014,50,525,375.4,587065.213,1052649.97,371.163
T1YB5611,2009-10-22,D014,100,525,378.21,587115.185,1052651.623,386.835
T1YB5612,2009-10-22,D006,725,500,283.06,586839.51,1052667.522,282.407
T1YB5613,2009-10-22,D009,675,700,276.9,586796.146,1052465.979,213.451
T1YB5614,2009-10-22,D003,600,275,215.28,586707.143,1052888.268,219.375
T1YB5615,2009-10-22,D009,725,800,215.62,586849.423,1052367.686,224.777
T1YB5616,2009-10-23,D009,625,600,233.36,586742.868,1052564.272,220.113
T1YB5617,2009-10-24,D017,200,850,406.89,587225.87,1052330.104,406.967
T1YB5618,2009-10-26,D017,175,850,398.39,587200.884,1052329.278,398.213
T1YB5619,2009-10-24,D008,525,800,191.44,586649.532,1052361.077,206.996
T1YB5620,2009-10-23,D006,675,525,268.82,586790.363,1052640.883,261.596
T1YB5621,2009-10-24,D009,725,875,225.78,586851.901,1052292.727,235.746
T1YB5622,2009-10-23,D005,550,325,207.78,586658.822,1052836.644,203.904
T1YB5623,2009-10-23,D009,725,825,222.45,586850.249,1052342.699,223.827
T1YB5624,2009-10-24,D008,575,675,190.61,586695.374,1052487.661,191.054
T1YB5625,2009-10-24,D008,550,825,198.64,586675.344,1052336.917,216.351
T1YB5626,2009-10-26,D014,125,525,380.73,587140.172,1052652.449,391.274
T1YB5627,2009-10-26,D014,75,525,373.9,587090.199,1052650.796,381.473
T1YB5628,2009-10-26,D008,550,775,179.68,586673.692,1052386.889,191.363
T1YB5629,2009-10-27,D002,550,275,204.02,586657.17,1052886.616,206.642
T1YB5630,2009-10-27,D006,675,350,236.69,586784.58,1052815.788,242.589
T1YB5631,2009-10-26,D003,675,100,200.9,586776.319,1053065.651,200.982
T1YB5632,2009-10-26,D009,600,850,199.95,586726.143,1052313.582,208.397
T1YB5633,2009-10-26,D002,575,150,194.56,586678.026,1053012.374,199.897
T1YB5634,2009-10-26,D009,725,775,218.02,586848.597,1052392.672,230.996
T1YB5635,2009-10-27,D006,675,550,263.24,586791.189,1052615.897,255.708
T1YB5636,2009-10-27,D006,725,525,281.75,586840.336,1052642.535,278.852
T1YB5637,2009-10-27,D009,675,675,228.44,586795.319,1052490.965,224.131
T1YB5638,2009-10-27,D006,875,525,346.69,586990.254,1052647.492,337.734
T1YB5639,2009-10-28,D009,750,800,230.11,586874.409,1052368.512,234.656
T1YB5640,2009-10-28,D002,500,225,189.16,586605.545,1052934.937,197.479
T1YB5641,2009-10-28,D017,250,875,416.89,587276.669,1052306.77,421.67
T1YB5642,2009-10-28,D009,750,825,235.21,586875.235,1052343.525,227.446
T1YB5643,2009-10-29,D008,550,850,211.23,586676.171,1052311.93,222.886
T1YB5644,2009-11-04,D006,700,525,275.05,586815.349,1052641.709,269.701
T1YB5645,2009-11-05,D009,675,650,230.31,586794.493,1052515.952,230.015
T1YB5646,2009-11-07,D006,700,475,271.85,586813.697,1052691.682,276.045
T1YB5647,2009-11-06,D009,750,875,230.73,586876.887,1052293.553,250.431
T1YB5648,2009-11-07,D006,650,425,238.3,586762.072,1052740.003,250.838
T1YB5649,2009-11-06,D006,675,325,236.39,586783.754,1052840.774,235.723
T1YB5650,2009-11-10,E006,750,0,238.92,586877.713,1052268.566,245.698
T1YB5651,2009-11-09,D009,675,625,242.08,586793.667,1052540.938,234.061
T1YB5652,2009-11-10,D006,725,550,281.34,586841.162,1052617.549,270.499
T1YB5653,2009-11-11,D006,675,400,243.59,586786.232,1052765.815,257.463
T1YB5654,2009-11-11,E003,750,25,239.62,586878.54,1052243.58,239.877
T1YB5655,2009-11-13,D009,675,600,250.44,586792.841,1052565.924,240.279
T1YB5656,2009-11-13,D006,750,575,287.11,586866.974,1052593.389,269.426
T1YB5657,2009-11-17,D009,675,875,207.87,586801.928,1052291.074,212.503
T1YB5658,2009-11-17,D006,675,575,257.9,586792.015,1052590.911,247.358
T1YB5659,2009-11-17,D006,800,525,315.58,586915.295,1052645.014,309.222
T1YB5660,2009-11-17,D006,675,425,248.76,586787.059,1052740.829,261.631
T1YB5661,2009-11-17,D006,650,325,230.77,586758.768,1052839.948,231.004
