drillhole,date,block,easting,northing,elev,x,y,z
HYYB0001,2005-06-22,D081,E000,S000,60.54,593271.974,1053294.161,62.44
HYYB0002,2005-06-22,D073,E800,S000,82.35,593171.991,1053292.308,83.487
HYYB0003,2005-06-22,D073,E700,S000,91.19,593071.848,1053293.234,91.978
HYYB0004,2005-06-22,D073,E600,S700,103.58,592971.865,1053291.38,101.476
HYYB0005,2005-06-22,D072,E500,S000,108.35,592873.733,1053315.691,112.591
HYYB0006,2005-06-22,D072,E400,S000,101.05,592773.733,1053315.691,105.287
HYYB0007,2005-06-22,D072,E300,S000,86.12,592673.733,1053315.691,84.575
HYYB0008,2005-06-22,D071,E200,S000,73.07,592574.252,1053316.553,70.66
HYYB0009,2005-06-23,D071,E100,S000,48.46,592474.166,1053291.898,56.285
HYYB0010,2005-06-23,D071,E000,S000,55.04,592371.968,1053280.259,57.061
HYYB0011,2005-06-28,D081,E000,S100,74.22,593273.815,1053194.177,74.03
HYYB0012,2005-06-27,D073,E800,S100,91.16,593173.827,1053192.634,93.146
HYYB0013,2005-06-27,D073,E700,S100,104.36,593073.839,1053191.091,106.481
HYYB0014,2005-06-27,D073,E600,S100,106.78,592973.852,1053189.547,108.658
HYYB0015,2005-06-27,D072,E500,S100,105.67,592873.733,1053215.691,108.218
HYYB0016,2005-06-29,D072,E400,S100,94.14,592773.733,1053215.691,94.752
HYYB0017,2005-06-27,D072,E300,S100,89.44,592673.733,1053215.691,89.191
HYYB0018,2005-06-23,D071,E200,S100,68.33,592573.733,1053215.691,71.837
HYYB0019,2005-06-27,D071,E100,S100,49.99,592473.906,1053217.109,52.356
HYYB0020,2005-06-30,D071,E000,S100,63,592373.822,1053180.276,65.975
HYYB0021,2005-06-30,D081,E000,S200,92.22,593278.385,1053096.925,95.149
HYYB0022,2005-07-01,D073,E800,S200,109.35,593176.392,1053092.866,111.051
HYYB0023,2005-06-30,D073,E700,S200,110.62,593073.733,1053115.691,110.663
HYYB0024,2005-07-01,D073,E600,S200,98.33,592973.733,1053115.691,103.786
HYYB0025,2005-07-01,D072,E500,S200,91.64,592873.733,1053115.691,95.698
HYYB0026,2005-07-05,D072,E400,S200,91.12,592775.403,1053087.366,92.961
HYYB0027,2005-06-29,D072,E300,S200,70.88,592678.456,1053087.664,75.566
HYYB0028,2005-07-06,D071,E200,S200,51.69,592578.468,1053086.121,56.204
HYYB0029,2005-06-30,D071,E100,S200,58.18,592478.48,1053084.577,61.897
HYYB0030,2005-07-05,D071,E000,S200,59.24,592378.492,1053083.034,62.888
HYYB0031,2005-07-05,D084,E000,S300,99.07,593277.452,1052996.89,100.974
HYYB0032,2005-07-06,D076,E800,S300,111.34,593173.733,1053015.691,117.51
HYYB0033,2005-07-05,D076,E700,S300,111.27,593073.733,1053015.691,118.146
HYYB0034,2005-07-06,D076,E600,S300,99.85,592977.518,1052990.473,101.898
HYYB0035,2005-07-05,D075,E500,S300,99.5,592877.53,1052988.93,101.686
HYYB0036,2005-07-11,D075,E400,S300,74.33,592777.542,1052987.387,76.317
HYYB0037,2005-07-04,D075,E300,S300,63.03,592677.554,1052985.844,64.381
HYYB0038,2005-07-09,D074,E200,S300,64.37,592577.571,1052984.003,66.674
HYYB0039,2005-07-04,D074,E100,S300,70.25,592477.588,1052982.162,72.952
HYYB0040,2005-07-08,D074,E000,S300,71.24,592380.036,1052983.046,74.212
HYYB0041,2005-07-09,D084,E000,S400,103,593273.733,1052915.691,106.538
HYYB0042,2005-07-09,D076,E800,S400,119.87,593173.733,1052915.691,124.152
HYYB0043,2005-07-11,D076,E700,S400,108.55,593073.627,1052916.159,109.673
HYYB0044,2005-07-11,D076,E600,S400,96.95,592973.6182,1052915.373,104.849
HYYB0045,2005-07-08,D075,E500,S400,85.94,592881.519,1052890.775,89.103
HYYB0046,2005-07-14,D075,E400,S400,76.45,592779.398,1052886.511,78.588
HYYB0047,2005-07-07,D075,E300,S400,80.33,592679.41,1052884.968,83.098
HYYB0048,2005-07-13,D074,E200,S400,82.16,592579.422,1052883.424,80.97
HYYB0049,2005-07-06,D074,E100,S400,83.43,592479.434,1052881.881,80.896
HYYB0050,2005-07-11,D074,E000,S400,88.19,592379.382,1052880.328,90.231
HYYB0051,2005-07-12,D084,E100,S400,81.95,593373.733,1052915.691,78.013
HYYB0052,2005-07-15,D084,E000,S500,117.68,593273.733,1052815.691,116.447
HYYB0053,2005-07-16,D076,E700,S500,115.89,593073.733,1052815.691,109.682
HYYB0054,2005-07-13,D076,E600,S500,104.27,592973.542,1052816.149,105.898
HYYB0055,2005-07-13,D075,E500,S500,97.34,592881.228,1052788.071,100.003
HYYB0056,2005-06-16,D075,E400,S500,90.53,592781.239,1052786.528,92.219
HYYB0057,2005-07-09,D075,E300,S500,96.59,592681.251,1052784.985,99.085
HYYB0058,2005-07-18,D074,E200,S500,92.02,592581.263,1052783.441,94.895
HYYB0059,2005-07-09,D074,E100,S500,90.26,592481.275,1052781.898,91.988
HYYB0060,2005-07-14,D074,E000,S500,86.89,592381.236,1052780.345,89.428
HYYB0061,2005-07-15,D084,E100,S500,93,593373.733,1052815.691,98.989
HYYB0062,2005-07-20,D076,E800,S500,120.81,593173.733,1052815.691,119.11
HYYB0063,2005-07-25,D079,E700,S600,125.49,593073.733,1052715.691,126.846
HYYB0064,2005-07-20,D079,E600,S600,108.54,592973.733,1052715.691,110.375
HYYB0065,2005-07-20,D078,E500,S600,111.37,592883.069,1052688.088,115.166
HYYB0066,2005-07-20,D078,E400,S600,105.22,592783.08,1052686.545,106.98
HYYB0067,2005-07-12,D078,E300,S600,103.25,592683.092,1052685.002,105.396
HYYB0068,2005-07-21,D077,E200,S600,102.03,592583.104,1052683.458,104.19
HYYB0069,2005-07-18,D077,E100,S600,102.9,592483.116,1052681.915,104.983
HYYB0070,2005-07-20,D077,E000,S600,90.04,592383.089,1052680.362,91.195
HYYB0071,2005-07-18,D087,E100,S600,121.01,593373.733,1052715.691,118.073
HYYB0072,2005-07-27,D079,E800,S600,125.82,593173.733,1052715.691,127.844
HYYB0073,2005-07-29,D079,E700,S700,123.6,593073.733,1052615.691,125.118
HYYB0074,2005-07-23,D079,E600,S700,123.01,592973.733,1052615.691,121.849
HYYB0075,2005-07-26,D078,E500,S700,119.85,592884.92,1052586.562,121.759
HYYB0076,2005-07-23,D078,E400,S700,100.83,592784.92,1052586.562,114.398
HYYB0077,2005-07-18,D077,E300,S700,113.46,592684.932,1052585.019,115.852
HYYB0078,2005-07-25,D077,E200,S700,108.46,592584.945,1052583.476,110.84
HYYB0079,2005-07-21,D077,E100,S700,100.68,592484.957,1052581.932,102.532
HYYB0080,2005-07-23,D077,E000,S700,83.75,592384.943,1052580.379,85.586
HYYB0081,2005-07-23,D087,E100,S700,145.89,593373.733,1052615.691,146.142
HYYB0082,2005-07-30,E072,E400,S100,136.93,592790.792,1052289.302,139.505
HYYB0083,2005-07-30,E075,E300,S300,153.43,592693.891,1052087.783,155.823
HYYB0084,2005-07-29,D079,E600,S800,131.1,592973.733,1052515.691,133.516
HYYB0085,2005-07-28,D078,E500,S800,119.86,592887.694,1052490.822,122.739
HYYB0086,2005-07-26,D078,E400,S800,112.55,592787.705,1052489.279,117.976
HYYB0087,2005-07-18,D078,E300,S800,121.26,592687.69,1052482.6,123.512
HYYB0088,2005-07-27,E072,E300,S200,145.79,592692.348,1052187.771,148.834
HYYB0089,2005-07-28,D077,E100,S800,91.46,592487.741,1052484.648,94.833
HYYB0090,2005-07-27,D077,E000,S800,74.85,592387.753,1052483.105,76.795
HYYB0091,2005-08-01,E071,E200,S000,116.23,592589.272,1052386.204,117.413
HYYB0092,2005-08-01,E071,E100,S000,96.47,592489.284,1052384.66,98.342
HYYB0093,2005-08-01,E071,E000,S000,77.89,592389.296,1052383.117,82.816
HYYB0094,2005-08-01,E073,E600,S000,122.58,592973.733,1052415.691,120.896
HYYB0095,2005-07-30,E072,E500,S000,117.47,592889.237,1052390.835,118.149
HYYB0096,2005-07-29,E072,E400,S000,126.08,592789.248,1052389.291,128.627
HYYB0097,2005-07-20,E072,E300,S000,131.11,592689.26,1052387.747,133.857
HYYB0098,2005-07-28,D077,E200,S800,102.56,592587.729,1052486.192,111.743
HYYB0099,2005-08-05,E071,E100,S100,97.65,592490.827,1052284.673,105.772
HYYB0100,2005-08-03,E071,E000,S100,90.54,592390.84,1052283.129,89.561
HYYB0101,2005-08-03,D087,E100,S800,163.37,593373.594,1052516.186,162.349
HYYB0102,2005-08-01,D087,E000,S600,136.33,593273.733,1052715.691,136.001
HYYB0103,2005-08-04,D079,E700,S800,137.67,593073.733,1052515.691,138.392
HYYB0104,2005-08-05,E079,E600,S100,131.48,592973.733,1052315.691,136.83
HYYB0105,2005-08-02,E072,E500,S100,136.08,592890.78,1052290.847,137.63
HYYB0106,2005-08-02,E072,E400,S200,147.24,592792.336,1052189.314,150.61
HYYB0107,2005-07-23,E072,E300,S100,140.46,592690.803,1052287.759,144.349
HYYB0108,2005-08-03,E071,E200,S100,127.52,592590.815,1052286.216,129.733
HYYB0109,2005-08-08,E071,E100,S200,96.87,592492.371,1052184.685,100.68
HYYB0110,2005-07-28,E075,E300,S500,126.61,592697.013,1051885.66,125.596
HYYB0111,2005-08-07,E081,E100,S000,172.95,593373.733,1052415.691,176.224
HYYB0112,2005-08-04,D087,E000,S700,146.05,593273.733,1052615.691,147.429
HYYB0113,2005-08-13,E071,E700,S000,142.35,593073.733,1052415.691,142.814
HYYB0114,2005-08-11,E073,E600,S200,147.53,592992.311,1052192.402,150.533
HYYB0115,2005-08-04,E072,E500,S200,151.19,592892.323,1052190.858,153.268
HYYB0116,2005-08-16,E078,E300,S700,77.84,592700.835,1051685.696,79.311
HYYB0117,2005-08-03,E071,E300,S400,143.28,592695.434,1051987.795,144.297
HYYB0118,2005-08-08,E071,E200,S200,114.14,592592.359,1052186.228,120.66
HYYB0119,2005-08-10,E078,E300,S600,77.3,592698.924,1051785.678,80.409
HYYB0120,2005-08-11,E071,E000,S200,65.83,592392.383,1052183.141,68.778
HYYB0121,2005-08-12,E081,E100,S100,174.93,593373.733,1052315.691,179.653
HYYB0122,2005-08-10,D079,E800,S700,124.29,593173.733,1052615.691,134.854
HYYB0123,2005-08-17,D079,E800,S800,130.86,593173.733,1052515.691,131.219
HYYB0124,2005-08-19,E081,E100,S200,195.04,593373.733,1052215.691,194.523
HYYB0125,2005-08-19,E075,E500,S300,163.84,592893.867,1052090.87,166.216
HYYB0126,2005-08-26,E075,E400,S300,165.54,592793.879,1052089.327,164.25
HYYB0127,2005-08-22,E071,E700,S100,160.8,593073.733,1052315.691,158.919
HYYB0128,2005-08-12,E074,E200,S300,116.16,592593.902,1052086.24,116.641
HYYB0129,2005-08-13,E074,E100,S300,87.86,592493.914,1052084.697,92.159
HYYB0130,2005-08-14,E074,E000,S300,51.39,592393.926,1052083.153,48.661
HYYB0131,2005-08-14,E081,E200,S100,159.36,593473.733,1052315.691,159.141
HYYB0132,2005-08-19,E078,E400,S700,86.75,592800.817,1051687.607,92.499
HYYB0133,2005-08-19,D087,E000,S800,151.9,593273.733,1052515.691,151.904
HYYB0134,2005-08-27,E078,E400,S800,111.51,592802.728,1051587.626,113.49
HYYB0135,2005-08-22,E081,E200,S000,156.74,593473.733,1052415.691,159.879
HYYB0136,2005-08-28,E084,E100,S400,210.62,593373.584,1052015.895,213.299
HYYB0137,2005-08-24,E073,E800,S000,152.32,593173.733,1052415.691,150.717
HYYB0138,2005-08-14,E074,E200,S400,112,592595.446,1051986.252,111.669
HYYB0139,2005-08-25,E081,E000,S000,163.55,593273.733,1052415.691,159.871
HYYB0140,2005-08-18,E086,E100,S300,207.25,593373.584,1052115.895,206.564
HYYB0141,2005-08-25,D087,E200,S800,139.59,593473.529,1052491.291,148.593
HYYB0142,2005-08-27,E075,E400,S400,171.91,592795.422,1051989.339,173.774
HYYB0143,2005-08-29,E073,E800,S100,165.18,593173.733,1052315.691,161.722
HYYB0144,2005-08-29,E081,E000,S100,175.89,593273.733,1052315.691,173.333
HYYB0145,2005-08-31,E084,E200,S300,210.81,593473.584,1052115.895,209.054
HYYB0146,2005-08-31,E075,E500,S400,173.67,592895.41,1051990.882,177.454
HYYB0147,2005-09-01,E076,E600,S300,145.41,592993.855,1052092.413,157.906
HYYB0148,2005-09-01,E073,E700,S200,156.65,593091.497,1052193.882,159.624
HYYB0149,2005-09-02,E082,E300,S000,116.46,593573.733,1052415.691,120.639
HYYB0150,2005-09-01,E075,E400,S500,130.86,592796.995,1051887.571,138.381
HYYB0151,2005-09-01,F012,E400,S000,97.98,592804.639,1051487.644,86.745
HYYB0152,2005-09-01,E073,E800,S200,177.7,593173.733,1052215.691,173.908
HYYB0153,2005-09-03,E082,E000,S200,179.14,593273.733,1052215.691,184.949
HYYB0154,2005-09-02,E086,E100,S500,212.73,593373.554,1051916.16,213.315
HYYB0155,2005-09-05,E076,E700,S300,165.57,593093.843,1052093.957,168.099
HYYB0156,2005-09-06,E072,E500,S000,137.93,592904.621,1051489.555,128.331
HYYB0157,2005-09-05,E081,E200,S200,172.38,593473.733,1052215.691,176.11
HYYB0158,2005-09-05,E086,E800,S300,179.69,593193.831,1052095.501,182.358
HYYB0159,2005-09-06,E084,E000,S300,188.72,593273.584,1052115.895,191.64
HYYB0160,2005-09-06,E082,E300,S100,141.28,593590.697,1052301.651,143.801
HYYB0161,2005-09-07,E084,E100,S600,220.26,593373.369,1051816.205,223.118
HYYB0162,2005-09-08,E084,E200,S400,222.96,593473.584,1052015.895,224.453
HYYB0163,2005-09-08,E076,E600,S400,173.68,592995.398,1051992.425,175.975
HYYB0164,2005-09-08,E076,E800,S400,187.87,593195.375,1051995.513,190.936
HYYB0165,2005-09-08,E084,E000,S400,195.23,593295.363,1051997.056,198.53
HYYB0166,2005-09-12,E082,E400,S100,99.29,593689.34,1052304.496,102.449
HYYB0167,2005-09-10,E087,E000,S700,210.8,593300.725,1051697.162,213.256
HYYB0168,2005-09-14,F072,E550,S100,129.55,592906.532,1051389.573,109.64
HYYB0169,2005-09-10,E082,E300,S200,155.83,593592.124,1052202.847,159.394
HYYB0170,2005-09-12,E076,E800,S500,185.61,593196.922,1051895.215,189.068
HYYB0171,2005-09-12,E076,E700,S400,178.05,593095.387,1051993.968,179.851
HYYB0172,2005-09-14,E084,E000,S500,203.95,593296.904,1051897.126,204.229
HYYB0173,2005-09-14,E087,E000,S800,237.54,593302.637,1051597.181,238.801
HYYB0174,2005-09-14,E089,E100,S700,218.38,593400.707,1051699.073,223.636
HYYB0175,2005-09-17,E079,E800,S700,197.34,593200.744,1051695.251,200.339
HYYB0176,2005-09-17,E085,E300,S300,176.25,593593.667,1052102.858,181.31
HYYB0177,2005-09-16,E084,E200,S500,224.35,593473.525,1051916.201,227.079
HYYB0178,2005-09-16,E087,E000,S600,198.22,593298.815,1051797.144,200.555
HYYB0179,2005-09-17,,,,,593402.618,1051599.092,241.66
HYYB0180,2005-09-17,F081,E000,S000,258.94,593304.547,1051497.199,250.535
HYYB0181,2005-09-23,E082,E400,S200,130.49,593691.25,1052204.514,133.215
HYYB0182,2005-09-22,E079,E800,S800,227.77,593202.655,1051595.27,230.804
HYYB0183,2005-09-24,F073,E600,S100,172.48,593006.513,1051391.484,151.999
HYYB0184,2005-09-21,E079,E700,S700,185.27,593100.762,1051693.34,187.818
HYYB0185,2005-09-24,E085,E300,S400,193.73,593595.211,1052002.87,193.601
HYYB0186,2005-09-26,E087,E200,S600,232.11,593473.567,1051816.177,235.761
HYYB0187,2005-09-24,F083,E100,S000,255.51,593404.529,1051499.11,263.874
HYYB0188,2005-09-24,E079,E700,S800,198.56,593102.673,1051593.359,197.29
HYYB0189,2005-09-22,E079,E600,S800,157.43,593002.691,1051591.448,158.394
HYYB0190,2005-09-24,F081,E000,S100,262.44,593306.458,1051397.217,252.614
HYYB0191,2005-09-26,F073,E800,S000,236.15,593204.566,1051495.288,233.988
HYYB0192,2005-09-29,E085,E400,S300,153.14,593693.009,1052104.733,155.834
HYYB0193,2005-09-26,E078,E500,S800,141.84,592902.71,1051589.537,143.646
HYYB0194,2005-09-29,F076,E700,S100,212.82,593106.495,1051393.395,203.277
HYYB0195,2005-09-29,F073,E700,S000,217.94,593104.584,1051493.377,220.316
HYYB0196,2005-09-28,F073,E800,S100,267.63,593206.477,1051395.306,216.796
HYYB0197,2005-09-27,E085,E300,S500,183.39,593596.849,1051902.859,188.13
HYYB0198,2005-09-28,E082,E500,S200,110.25,593791.232,1052206.425,112.667
HYYB0199,2005-09-29,F081,E000,S200,245.47,593310.922,1051297.765,231.101
HYYB0200,2005-09-29,F081,E100,S100,277.08,593406.44,1051399.128,278.651
HYYB0201,2005-09-29,E087,E200,S700,228.07,593500.689,1051700.984,234.476
HYYB0202,2005-09-30,F073,E600,S000,185.94,593004.602,1051491.466,171.111
HYYB0203,2005-10-01,E085,E500,S300,122,593792.99,1052106.644,125.834
HYYB0204,2005-10-04,E088,E300,S600,195.44,593598.76,1051802.877,192.534
HYYB0205,2005-10-03,E085,E400,S400,143.82,593694.92,1052004.751,148.968
HYYB0206,2005-10-04,F081,E100,S200,288.83,593410.909,1051299.331,274.77
HYYB0207,2005-10-04,F085,E300,S300,300.33,593612.452,1051202.477,301.016
HYYB0208,2005-10-01,E087,E200,S800,240.05,593502.6,1051601.003,243.381
HYYB0209,2005-10-04,E087,E200,S600,255.62,593517.16,1050900.947,238.569
HYYB0210,2005-10-07,G081,E200,S000,260.37,593521.863,1050600.984,251.104
HYYB0211,2005-10-04,F081,E200,S000,260.75,593504.511,1051501.021,257.53
HYYB0212,2005-10-05,E085,E500,S400,106.72,593794.901,1052006.662,112.243
HYYB0213,2005-10-05,F087,E200,S700,241.3,593518.73,1050800.96,225.443
HYYB0214,2005-10-08,F084,E200,S500,268.31,593515.597,1051000.935,247.418
HYYB0215,2005-10-13,E088,E400,S600,150.61,593698.742,1051804.788,155.233
HYYB0216,2005-10-10,E088,E300,S700,205.21,593600.671,1051702.895,209.107
HYYB0217,2005-10-08,F088,E300,S600,288.33,593617.152,1050902.513,275.411
HYYB0218,2005-10-08,F081,E200,S100,284.62,593506.422,1051401.039,287.256
HYYB0219,2005-10-06,F084,E100,S300,274.09,593412.476,1051199.344,251.645
HYYB0220,2005-10-10,F087,E200,S800,240.24,593520.297,1050700.971,230.728
HYYB0221,2005-10-08,F087,E100,S700,207,593418.742,1050799.393,196.105
HYYB0222,2005-10-12,F084,E100,S400,245.89,593414.042,1051099.356,239.84
HYYB0223,2005-10-10,E085,E400,S500,130.32,593696.831,1051904.77,136.254
HYYB0224,2005-10-10,G082,E300,S000,263.2,593621.85,1050602.55,282.187
HYYB0225,2005-10-13,F081,E200,S200,300.89,593510.897,1051300.898,301.207
HYYB0226,2005-10-13,F084,E100,S500,268.42,593415.609,1050999.368,221.963
HYYB0227,2005-10-10,E085,E500,S500,126.57,593796.812,1051906.681,127.909
HYYB0228,2005-10-13,F088,E400,S600,292.22,593717.135,1050904.079,296.17
HYYB0229,2005-10-13,E088,E300,S800,221.58,593602.582,1051602.914,227.021
HYYB0230,2005-10-13,F088,E300,S700,277.66,593618.718,1050802.526,261.502
HYYB0231,2005-10-12,F088,E300,S800,274.22,593620.284,1050702.537,271.41
HYYB0232,2005-10-13,E088,E500,S600,140.93,593798.723,1051806.699,143.053
HYYB0233,2005-10-14,F086,E600,S400,261.55,593913.981,1051107.189,278.551
HYYB0234,2005-10-14,F084,E200,S400,268.82,593514.03,1051100.923,259.455
HYYB0235,2005-10-17,F082,E300,S000,231.79,593604.493,1051502.932,238.066
HYYB0236,2005-10-17,F088,E400,S800,237.15,593719.396,1050704.95,251.932
HYYB0237,2005-10-17,F088,E500,S600,275.93,593817.127,1050905.647,291.873
HYYB0238,2005-10-15,F088,E400,S700,250.53,593717.83,1050804.938,279.31
HYYB0239,2005-10-21,F084,E200,S300,207.64,593512.463,1051200.91,285.952
HYYB0240,2005-10-15,F087,E100,S600,215.88,593417.175,1050899.381,196.315
HYYB0241,2005-10-17,E088,E400,S700,168.43,593700.652,1051704.806,176.331
HYYB0242,2005-10-18,F085,E300,S400,294.49,593614.018,1051102.489,286.483
HYYB0243,2005-10-17,F086,E700,S400,233.18,594013.969,1051108.755,253.826
HYYB0244,2005-10-18,E088,E500,S700,156.06,593800.634,1051706.717,163.993
HYYB0245,2005-10-19,F088,E500,S700,252.5,593817.817,1050806.504,254.997
HYYB0246,2005-10-20,F082,E300,S100,251.98,593606.404,1051402.95,279.395
HYYB0247,2005-10-20,F089,E600,S600,254.45,593917.114,1050907.213,269.293
HYYB0248,2005-10-26,F085,E300,S500,295.98,593615.585,1051002.501,287.366
HYYB0249,2005-10-21,F086,E700,S300,229.15,594012.402,1051208.743,245.503
HYYB0250,2005-10-21,E088,E400,S800,168.05,593702.564,1051604.825,186.461
HYYB0251,2005-10-22,F085,E400,S400,281.44,593714.006,1051104.056,293.889
HYYB0252,2005-10-22,E088,E500,S800,174.76,593802.545,1051606.736,179.044
HYYB0253,2005-10-24,F091,E000,S100,239.12,594206.294,1051414.416,231.695
HYYB0254,2005-10-27,F083,E800,S100,240.86,594106.312,1051412.505,250.941
HYYB0255,2005-10-24,F089,E600,S500,258.67,593914.158,1051007.866,277.215
HYYB0256,2005-10-25,F083,E700,S200,258.23,594010.836,1051308.73,264.77
HYYB0257,2005-10-25,F082,E300,S200,272.44,593610.885,1051302.464,292.734
HYYB0258,2005-10-25,F082,E400,S000,189.57,593704.475,1051504.843,194.914
HYYB0259,2005-10-25,F085,E500,S400,271.13,593813.993,1051105.622,279.905
HYYB0260,2005-11-05,F085,E400,S300,273.44,593712.439,1051204.043,292.082
HYYB0261,2005-10-28,F091,E100,S000,260.31,594273.746,1051519.327,256.925
HYYB0262,2005-10-28,F086,E700,S500,253.7,594014.145,1051009.432,252.48
HYYB0263,2005-10-26,F082,E500,S000,189.56,593804.456,1051506.754,193.568
HYYB0264,2005-11-02,F082,E400,S100,210.46,593706.385,1051404.861,239.215
HYYB0265,2005-10-29,F086,E600,S300,260.11,593912.415,1051207.176,258.802
HYYB0266,2005-11-02,F083,E700,S100,251.16,594006.331,1051410.594,257.872
HYYB0267,2005-11-07,F085,E400,S500,288.31,593714.182,1051004.733,298.818
HYYB0268,2005-11-09,F083,E800,S000,221.52,594104.401,1051512.487,224.963
HYYB0269,2005-11-05,F091,E000,S000,234.96,594204.536,1051514.197,239.547
HYYB0270,2005-11-03,F082,E500,S100,221.34,593806.367,1051406.772,203.379
HYYB0271,2005-11-05,E097,E100,S800,260.11,594274.473,1051619.324,251.889
HYYB0272,2005-11-11,F091,E200,S000,242.58,594373.744,1051518.6,253.711
HYYB0273,2005-11-08,F083,E700,S000,229.74,594004.42,1051510.576,232.841
HYYB0274,2005-11-12,F092,E300,S000,251.8,594473.741,1051517.873,246.951
HYYB0275,2005-11-11,F082,E400,S200,249.57,593710.873,1051304.031,274.419
HYYB0276,2005-11-15,E097,E000,S800,225.14,594174.476,1051620.052,220.444
HYYB0277,2005-11-10,F082,E500,S200,220.23,593810.86,1051305.597,236.162
HYYB0278,2005-11-10,F085,E500,S500,275.85,593814.17,1051006.299,285.147
HYYB0279,2005-11-10,E097,E100,S700,253.53,594275.201,1051719.322,250.857
HYYB0280,2005-11-12,F085,E500,S300,237.81,593812.426,1051205.61,263.703
HYYB0281,2005-11-11,F089,E700,S800,183.68,593974.481,1051621.506,190.755
HYYB0282,2005-11-14,E089,E800,S800,195.96,594074.479,1051620.779,191.006
HYYB0283,2005-11-15,E097,E100,S600,243.9,594275.928,1051819.319,243.851
HYYB0284,2005-11-18,E097,E200,S800,264.32,594374.471,1051618.597,271.603
HYYB0285,2005-11-16,E089,E700,S700,157.81,593975.209,1051721.503,164.185
HYYB0286,2005-11-19,F092,E400,S000,234.87,594573.738,1051517.145,244.258
HYYB0287,2005-11-19,E089,E800,S700,154.35,594075.206,1051720.776,186.625
HYYB0288,2005-11-21,E097,E000,S700,224.39,594175.203,1051720.049,220.65
HYYB0289,2005-11-23,F083,E600,S200,257.2,593910.848,1051307.164,247.554
HYYB0290,2005-11-19,E098,E300,S800,248.01,594474.468,1051617.87,255.276
HYYB0291,2005-11-19,E094,E200,S500,216.79,594376.652,1051918.589,222.395
HYYB0292,2005-11-23,E089,E700,S600,163.02,593975.936,1051821.501,161.387
HYYB0293,2005-11-22,F093,E600,S000,193.4,594773.733,1051515.691,202.903
HYYB0294,2005-11-11,E098,E300,S700,227.71,594475.195,1051717.867,237.757
HYYB0295,2005-11-19,F092,E500,S000,206.24,594673.736,1051516.418,216.545
HYYB0296,2005-11-22,E089,E800,S600,155.4,594075.933,1051820.774,190.445
HYYB0297,2005-11-26,E097,E200,S700,253.06,594375.198,1051718.595,257.297
HYYB0298,2005-11-26,E094,E100,S500,233.87,594276.655,1051919.317,231.717
HYYB0299,2005-11-26,E098,E400,S800,227.15,594574.466,1051617.143,232.853
HYYB0300,2005-11-25,E098,E500,S800,192.24,594674.463,1051616.416,196.672
HYYB0301,2005-11-26,E097,E000,S600,218.18,594175.931,1051820.046,220.552
HYYB0302,2005-11-25,E086,E800,S500,139.13,594076.66,1051920.771,173.922
HYYB0303,2005-12-03,E086,E700,S500,159.32,593976.663,1051921.498,155.711
HYYB0304,2005-11-29,E099,E600,S800,176.99,594774.46,1051615.688,180.019
HYYB0305,2005-12-03,E098,E300,S600,210.41,594475.923,1051817.865,216.18
HYYB0306,2005-12-01,F083,E600,S100,241.44,593906.349,1051408.683,238.704
HYYB0307,2005-12-03,E098,E500,S700,177.12,594675.19,1051716.413,178.461
HYYB0308,2005-11-30,E086,E800,S400,128.91,594077.388,1052020.768,164.189
HYYB0309,2005-12-01,E094,E100,S400,213.32,594277.382,1052019.314,215.948
HYYB0310,2005-12-02,E094,E000,S500,218.44,594176.658,1051920.044,217.821
HYYB0311,2005-12-03,E097,E200,S600,229.2,594375.925,1051818.592,237.204
HYYB0312,2005-12-03,E099,E600,S700,163.16,594775.187,1051715.686,165.105
HYYB0313,2005-12-05,E098,E400,S700,205.26,594575.193,1051717.14,209.768
HYYB0314,2005-12-07,E086,E800,S300,131.38,594078.115,1052120.766,167.34
HYYB0315,2005-12-12,E094,E100,S300,189.52,594278.11,1052119.311,191.589
HYYB0316,2005-12-15,E098,E500,S600,160.49,594675.917,1051816.41,166.947
HYYB0317,2005-12-06,F083,E600,S000,222.97,593904.438,1051508.665,226.114
HYYB0318,2005-12-09,E095,E300,S500,196.71,594476.65,1051917.862,202.789
HYYB0319,2005-12-09,E094,E000,S400,209.34,594177.385,1052020.041,205.369
HYYB0320,2005-12-15,E094,E200,S400,210.9,594377.38,1052018.587,210.899
HYYB0321,2005-12-13,E098,E400,S600,196.44,594575.92,1051817.138,201.446
HYYB0322,2005-12-13,E083,E800,S200,126.69,594078.842,1052220.763,168.79
HYYB0323,2005-12-13,E086,E700,S300,96.25,593978.117,1052121.493,135.499
HYYB0324,2005-12-14,E089,E600,S800,205.15,593902.527,1051608.646,207.452
HYYB0325,2005-12-17,E095,E300,S400,197.5,594477.377,1052017.859,208.041
HYYB0326,2006-01-23,C077,E000,S700,62.7,592369.065,1053480.022,59.55
HYYB0327,2005-12-16,E094,E000,S300,195.47,594173.733,1052115.691,196.599
HYYB0328,2005-12-14,E099,E600,S600,144.89,594773.733,1051815.691,147.697
HYYB0329,2006-01-18,C079,E800,S800,75.42,593169.77,1053395.831,76.495
HYYB0330,2006-01-20,C087,E000,S800,45.16,593270.784,1053396.94,54.694
HYYB0331,2006-01-18,C077,E000,S800,47.5,592370.943,1053380.04,53.825
HYYB0332,2006-01-19,C077,E200,S800,59.77,592574.51,1053391.552,63.892
HYYB0333,2006-01-19,C079,E600,S800,94.43,592969.821,1053391.359,96.133
