No,drillhole,Date ,Block,E/W,N/S,CoreRec,ELEV,FROM,TO,Length,AreaInfl,Vol, Category , %Ni , %Fe , %Co ,DESCRIPTION,Excavated,ExYear,NiVol,FeVol,CoVol,ORE CLASS,Cu. m.,%Ni,%Fe,%Co,Category,Excavated,%Ni,%Ni,%Fe,%Fe,,MINERAL RESOURCES AS OF YEAR 2018,,,,,,MINERAL RESOURCES AS OF YEAR 2018,,,,,,,,,,,,,,Statistic Data of 2016 Mineral Resources TMC,,,,Taga1,,,,,,,,,
0,1405_T1,29-Jun-04,D012,E000,S225,,303.82,303.82,303,0.82,625,512.5,M,0.65,51.25,0.02,RBR-LAT,,,333.125,26265.625,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1406_T1,30-Jun-04,D021,E000,S200,,285.76,285.76,285,0.76,625,475,M,1,49.8,0.04,RBR-YBR-LAT,,,475,23655,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1407_T1,26-Jun-04,D015,E400,S300,,378.37,378.37,377,1.37,625,856.25,M,0.93,49.14,0.05,RBR-LAT,1,Oct-17,796.3125,42076.125,42.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1408_T1,26-Jun-04,D015,E350,S300,,377.71,377.71,377,0.71,625,443.75,M,0.8,49.21,0.03,RBR-LAT,1,May-18,355,21836.9375,13.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1409_T1,26-Jun-04,D012,E550,S275,,359.14,359.14,358,1.14,625,712.5,M,1.22,48.24,0.17,RBR-YBR-LAT,1,2018,869.25,34371,121.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1410_T1,28-Jun-04,D012,E525,S275,,363.87,363.87,363,0.87,625,543.75,M,1.39,50.98,0.21,RBR-LAT,1,2017,755.8125,27720.375,114.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1411_T1,28-Jun-04,D012,E500,S275,,362.64,362.64,362,0.64,625,400,M,1.11,47.65,0.13,RBR-LAT,1,Jun-17,444,19060,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1412_T1,26-Jun-04,D015,E425,S325,,380.36,380.36,379,1.36,625,850,M,1.37,51.72,0.2,YBR-YOR-LAT,1,Sep-18,1164.5,43962,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1413_T1,28-Jun-04,D015,E325,S300,,375.71,375.71,375,0.71,625,443.75,M,0.89,49.96,0.06,RBR-LAT,,,394.9375,22169.75,26.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1414_T1,28-Jun-04,D015,E325,S325,,379.56,379.56,379,0.56,625,350,M,0.87,49.01,0.03,RBR-LAT,,,304.5,17153.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1415_T1,29-Jun-04,D015,E525,S400,,389.85,389.85,389,0.85,625,531.25,M,0.74,49.82,0.02,RBR-LAT,1,2018,393.125,26466.875,10.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1416_T1,29-Jun-04,D012,E475,S275,,364.75,364.75,364,0.75,625,468.75,M,1.73,31,0.11,YBR-LAT W/ YG-MHR,1,2017,810.9375,14531.25,51.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1417_T1,30-Jun-04,D012,E450,S275,,366.9,366.9,366,0.9,625,562.5,M,1.29,48.24,0.16,RBR-LAT,1,2018,725.625,27135,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1418_T1,1-Jul-04,D016,E825,S400,,332.54,332.54,332,0.54,625,337.5,M,0.65,49.2,0.02,RBR-LAT,1,Dec-18,219.375,16605,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1419_T1,29-Jun-04,D015,E350,S325,,383.93,383.93,383,0.93,625,581.25,M,0.95,49.89,0.03,YBR-LAT,1,2018,552.1875,28998.5625,17.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1420_T1,30-Jun-04,D015,E475,S325,,374.8,374.8,374,0.8,625,500,M,1.54,32.6,0.14,YBR-LAT W/ YOR-CS-SP,1,Dec-18,770,16300,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1421_T1,30-Jun-04,D016,E800,S325,,336.63,336.63,336,0.63,625,393.75,M,0.77,51.46,0.04,RBR-LAT,1,Aug-18,303.1875,20262.375,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1422_T1,2-Jul-04,D016,E775,S325,,340.49,340.49,339,1.49,625,931.25,M,0.93,48.96,0.02,RBR-LAT,1,Jul-18,866.0625,45594,18.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1423_T1,28-Jun-04,D013,E700,S250,,329.67,329.67,329,0.67,625,418.75,M,1.31,48.07,0.2,RBR-YBR-LAT,,,548.5625,20129.3125,83.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1424_T1,30-Jun-04,D013,E725,S250,,327.09,327.09,326,1.09,625,681.25,M,1.39,31.52,0.08,RBR-LAT,,,946.9375,21473,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1425_T1,1-Jul-04,D013,E750,S250,,329.72,329.72,329,0.72,625,450,M,0.9,49.14,0.02,RBR-LAT,1,Sep-18,405,22113,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1426_T1,29-Jun-04,D015,E425,S400,,398.9,398.9,398,0.9,625,562.5,M,0.78,50.34,0.02,RBR-LAT,1,Oct-17,438.75,28316.25,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1427_T1,30-Jun-04,D015,E375,S300,,383.55,383.55,383,0.55,625,343.75,M,0.7,50.73,0.02,RBR-LAT,1,Oct-17,240.625,17438.4375,6.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1428_T1,30-Jun-04,D015,E350,S350,,386.89,386.89,386,0.89,625,556.25,M,0.93,49.91,0.03,RBR-LAT,1,Oct-17,517.3125,27762.4375,16.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1429_T1,30-Jun-04,D016,E775,S300,,333.64,333.64,333,0.64,625,400,M,1.06,49.11,0.07,RBR-LAT,1,Aug-18,424,19644,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1430_T1,1-Jul-04,D016,E800,S300,,328.54,328.54,328,0.54,625,337.5,M,0.93,48.77,0.03,RBR-LAT,1,Sep-18,313.875,16459.875,10.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1431_T1,2-Jul-04,D016,E825,S300,,328.25,328.25,327,1.25,625,781.25,M,0.86,49.92,0.02,RBR-LAT,1,Sep-18,671.875,39000,15.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1432_T1,1-Jul-04,D015,E400,S375,,387.53,387.53,387,0.53,625,331.25,M,0.96,49.05,0.11,RBR-LAT,1,Dec-18,318,16247.8125,36.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1433_T1,2-Jul-04,D015,E425,S375,,390.11,390.11,389,1.11,625,693.75,M,1.12,50.25,0.11,RBR-YBR-LAT,1,Apr-18,777,34860.9375,76.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1434_T1,3-Jul-04,D015,E450,S375,,391.77,391.77,391,0.77,625,481.25,M,1.05,49.52,0.08,RBR-YBR-LAT,1,Oct-17,505.3125,23831.5,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1435_T1,2-Jul-04,D016,E800,S400,,338.52,338.52,338,0.52,625,325,M,0.82,48.71,0.02,RBR-LAT,1,Oct-18,266.5,15830.75,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1436_T1,6-Jul-04,D016,E775,S400,,342.07,342.07,341,1.07,625,668.75,M,0.84,51.14,0.03,RBR-LAT,1,Sep-18,561.75,34199.875,20.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1437_T1,8-Jul-04,D016,E750,S400,,345.15,345.15,344,1.15,625,718.75,M,0.81,53.18,0.04,RBR-LAT,1,Sep-18,582.1875,38223.125,28.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1438_T1,2-Jul-04,D015,E375,S375,,387.87,387.87,387,0.87,625,543.75,M,1.04,47.13,0.16,RBR-YBR-LAT,1,Oct-17,565.5,25626.9375,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1439_T1,1-Jul-04,D015,E400,S325,,383.59,383.59,383,0.59,625,368.75,M,0.86,48.25,0.03,RBR-LAT,1,Oct-17,317.125,17792.1875,11.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1440_T1,2-Jul-04,D015,E325,S350,,382.87,382.87,382,0.87,625,543.75,M,1.12,48.22,0.13,RBR-LAT,,,609,26219.625,70.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1441_T1,2-Jul-04,D015,E325,S375,,383.02,383.02,382,1.02,625,637.5,M,1.21,51.48,0.12,RBR-LAT,,,771.375,32818.5,76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1442_T1,2-Jul-04,D012,E425,S250,,363.9,363.9,363,0.9,625,562.5,M,1.1,23.72,0.05,RBR-LAT,1,Dec-18,618.75,13342.5,28.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1443_T1,2-Jul-04,D015,E475,S400,,398.17,398.17,397,1.17,625,731.25,M,0.72,50.95,0.02,RBR-LAT,1,Dec-17,526.5,37257.1875,14.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1444_T1,6-Jul-04,D013,E775,S250,,329.91,329.91,329,0.91,625,568.75,M,1.07,51.32,0.04,RBR-YBR-LAT,1,Sep-18,608.5625,29188.25,22.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1445_T1,7-Jul-04,D013,E800,S250,,327.15,327.15,326,1.15,625,718.75,M,0.98,51.74,0.03,RBR-LAT,1,Sep-18,704.375,37188.125,21.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1446_T1,8-Jul-04,D013,E825,S250,,322.98,322.98,322,0.98,625,612.5,M,1,49.99,0.04,RBR-LAT,1,Oct-18,612.5,30618.875,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1447_T1,2-Jul-04,D015,E450,S400,,400.61,400.61,400,0.61,625,381.25,M,0.88,48.9,0.02,RBR-LAT,1,Oct-17,335.5,18643.125,7.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1448_T1,2-Jul-04,D015,E350,S375,,385.42,385.42,384,1.42,625,887.5,M,1.09,47.77,0.19,RBR-LAT,,,967.375,42395.875,168.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1449_T1,5-Jul-04,D015,E475,S375,,393.33,393.33,392,1.33,625,831.25,M,0.99,51.44,0.03,RBR-LAT,1,Oct-17,822.9375,42759.5,24.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1450_T1,7-Jul-04,D015,E500,S375,,388.62,388.62,388,0.62,625,387.5,M,0.87,50.7,0.03,RBR-LAT,1,Dec-17,337.125,19646.25,11.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1451_T1,9-Jul-04,D015,E525,S375,,385.9,385.9,385,0.9,625,562.5,M,0.74,53.59,0.02,RBR-LAT,1,Oct-17,416.25,30144.375,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1452_T1,3-Jul-04,D015,E375,S325,,388.91,388.91,388,0.91,625,568.75,M,0.84,53.09,0.01,RBR-LAT,1,Oct-17,477.75,30194.9375,5.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1453_T1,3-Jul-04,D015,E375,S400,,392.63,392.63,392,0.63,625,393.75,M,0.59,50.74,0.04,RBR-LAT,1,Nov-18,232.3125,19978.875,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1454_T1,5-Jul-04,D016,E750,S325,,344.28,344.28,343,1.28,625,800,M,0.78,47.8,0.02,RBR-LAT,1,Jul-18,624,38240,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1455_T1,6-Jul-04,D016,E725,S325,,348.38,348.38,347,1.38,625,862.5,M,0.85,50.45,0.04,RBR-LAT,1,Jul-18,733.125,43513.125,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1456_T1,8-Jul-04,D016,E700,S325,,348.61,348.61,348,0.61,625,381.25,M,0.95,53.15,0.04,RBR-LAT,1,Jul-18,362.1875,20263.4375,15.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1457_T1,6-Jul-04,D016,E825,S425,,331.77,331.77,331,0.77,625,481.25,M,0.72,50.67,0.02,RBR-LAT,,,346.5,24384.9375,9.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1458_T1,6-Jul-04,D016,E800,S425,,336.83,336.83,336,0.83,625,518.75,M,0.67,48.08,0.02,RBR-LAT,1,Dec-18,347.5625,24941.5,10.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1459_T1,7-Jul-04,D016,E775,S425,,338.79,338.79,338,0.79,625,493.75,M,0.95,52.59,0.03,RBR-LAT,,,469.0625,25966.3125,14.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1460_T1,5-Jul-04,D015,E425,S425,,404.09,404.09,403,1.09,625,681.25,M,0.73,50.22,0.02,RBR-LAT,1,Oct-17,497.3125,34212.375,13.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1461_T1,5-Jul-04,D015,E400,S425,,404.23,404.23,403,1.23,625,768.75,M,0.76,49.93,0.04,RBR-LAT,1,Oct-17,584.25,38383.6875,30.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1462_T1,7-Jul-04,D015,E375,S425,,397.26,397.26,396,1.26,625,787.5,M,1.03,50.01,0.14,RBR-LAT,1,Nov-18,811.125,39382.875,110.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1463_T1,5-Jul-04,D015,E400,S350,,386.9,386.9,386,0.9,625,562.5,M,1.13,51.58,0.12,RBR-LAT,1,2018,635.625,29013.75,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1464_T1,6-Jul-04,D015,E375,S350,,389.24,389.24,388,1.24,625,775,M,0.94,48.29,0.07,RBR-LAT,1,Oct-17,728.5,37424.75,54.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1465_T1,6-Jul-04,D015,E425,S450,,407.4,407.4,406,1.4,625,875,M,0.71,50.15,0.02,RBR-LAT,1,Oct-17,621.25,43881.25,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1466_T1,6-Jul-04,D015,E350,S400,,386.6,386.6,386,0.6,625,375,M,1.15,50.4,0.14,RBR-LAT,,,431.25,18900,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1467_T1,6-Jul-04,D015,E325,S400,,385.71,385.71,385,0.71,625,443.75,M,1.65,47.19,0.13,RBR-YOR-LAT,,,732.1875,20940.5625,57.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1468_T1,6-Jul-04,D015,E400,S450,,406.46,406.46,405,1.46,625,912.5,M,0.76,50.37,0.02,RBR-LAT,1,Oct-17,693.5,45962.625,18.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1469_T1,7-Jul-04,D015,E400,S475,,404.56,404.56,404,0.56,625,350,M,0.54,48.43,0.01,RBR-LAT,1,Apr-18,189,16950.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1470_T1,8-Jul-04,D015,E400,S500,,410.89,410.89,410,0.89,625,556.25,M,0.84,53.59,0.03,RBR-LAT,1,Oct-17,467.25,29809.4375,16.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1471_T1,8-Jul-04,D015,E375,S450,,339.35,339.35,338,1.35,625,843.75,M,0.8,50.29,0.02,RBR-LAT,1,Dec-18,675,42432.1875,16.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1472_T1,8-Jul-04,D015,E375,S475,,404.36,404.36,403,1.36,625,850,M,0.79,50.49,0.01,RBR-LAT,,,671.5,42916.5,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1473_T1,8-Jul-04,D015,E325,S425,,389.75,389.75,389,0.75,625,468.75,M,1,44.91,0.09,RBR-LAT,,,468.75,21051.5625,42.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1474_T1,8-Jul-04,D015,E350,S425,,319.87,319.87,319,0.87,625,543.75,M,0.94,45.23,0.09,RBR-LAT,,,511.125,24593.8125,48.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1475_T1,16-Jul-04,D016,E725,S400,,347.89,347.89,347,0.89,625,556.25,M,0.71,50.38,0.02,RBR-LAT,1,Sep-18,394.9375,28023.875,11.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1476_T1,17-Jul-04,D016,E700,S400,,352.44,352.44,351,1.44,625,900,M,0.84,50.93,0.03,RBR-LAT,1,Sep-18,756,45837,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1477_T1,21-Jul-04,D016,E675,S400,,357.39,357.39,356,1.39,625,868.75,M,0.98,53.01,0.03,RBR-LAT,1,Dec-18,851.375,46052.4375,26.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1478_T1,8-Jul-04,D015,E425,S475,,408.86,408.86,408,0.86,625,537.5,M,0.76,51.08,0.03,RBR-LAT,1,Oct-17,408.5,27455.5,16.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1479_T1,8-Jul-04,D016,E750,S425,,338.61,338.61,338,0.61,625,381.25,M,0.85,50.44,0.03,RBR-YBR-LAT,,,324.0625,19230.25,11.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1480_T1,10-Jul-04,D016,E725,S425,,341.05,341.05,340,1.05,625,656.25,M,0.87,50.9,0.02,RBR-YBR-LAT,,,570.9375,33403.125,13.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1481_T1,29-Jul-04,D015,E550,S425,,385.49,385.49,384,1.49,625,931.25,M,0.64,50.92,0.02,RBR-LAT,1,Sep-18,596,47419.25,18.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1482_T1,9-Jul-04,D015,E450,S450,,406.72,406.72,406,0.72,625,450,M,0.69,51.38,0.02,RBR-LAT,1,Oct-17,310.5,23121,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1483_T1,10-Jul-04,D015,E450,S475,,407.55,407.55,407,0.55,625,343.75,M,0.78,53.59,0.02,RBR-LAT,1,Oct-17,268.125,18421.5625,6.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1484_T1,13-Jul-04,D015,E475,S450,,403.52,403.52,403,0.52,625,325,M,0.7,52.7,0.02,RBR-LAT,1,Oct-17,227.5,17127.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1485_T1,10-Jul-04,D016,E775,S350,,288.85,288.85,288,0.85,625,531.25,M,0.73,51.9,0.17,RBR-LAT,1,Dec-18,387.8125,27571.875,90.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1486_T1,12-Jul-04,D016,E750,S350,,292.81,292.81,292,0.81,625,506.25,M,0.9,49.31,0.03,RBR-LAT,1,Dec-18,455.625,24963.1875,15.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1487_T1,14-Jul-04,D016,E725,S350,,297.34,297.34,296,1.34,625,837.5,M,0.76,51.92,0.02,RBR-LAT,1,Dec-18,636.5,43483,16.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1488_T1,12-Jul-04,D015,E550,S375,,388.07,388.07,387,1.07,625,668.75,M,0.82,53.99,0.02,RBR-YBR-LAT,1,Oct-17,548.375,36105.8125,13.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1489_T1,14-Jul-04,D015,E575,S375,,378.13,378.13,377,1.13,625,706.25,M,1.18,50.06,0.24,RBR-YBR-LAT,1,Dec-17,833.375,35354.875,169.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1490_T1,16-Jul-04,D016,E600,S375,,373.08,373.08,372,1.08,625,675,M,0.82,50.83,0.01,RBR-YBR-LAT,1,Dec-17,553.5,34310.25,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1491_T1,10-Jul-04,D015,E350,S475,,401.32,401.32,400,1.32,625,825,M,0.97,52.97,0.1,RBR-LAT,,,800.25,43700.25,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1492_T1,10-Jul-04,D015,E350,S450,,396.53,396.53,396,0.53,625,331.25,M,1.01,50.33,0.11,RBR-LAT,,,334.5625,16671.8125,36.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1493_T1,10-Jul-04,D015,E350,S500,,406.35,406.35,405,1.35,625,843.75,M,0.93,50.15,0.08,RBR-LAT,1,Dec-18,784.6875,42314.0625,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1494_T1,10-Jul-04,D015,E300,S400,,384.4,384.4,383,1.4,625,875,M,1.08,49.96,0.1,RBR-LAT,,,945,43715,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1495_T1,10-Jul-04,D015,E325,S450,,395.09,395.09,394,1.09,625,681.25,M,1.05,47.89,0.12,RBR-LAT,,,715.3125,32625.0625,81.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1496_T1,10-Jul-04,D015,E325,S475,,398.96,398.96,398,0.96,625,600,M,1.03,48.18,0.08,RBR-LAT,,,618,28908,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1497_T1,12-Jul-04,D015,E375,S500,,408.54,408.54,408,0.54,625,337.5,M,0.82,51.75,0.05,RBR-LAT,,,276.75,17465.625,16.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1498_T1,13-Jul-04,D015,E350,S525,,414.13,414.13,413,1.13,625,706.25,M,0.53,49.97,0.02,RBR-LAT,,,374.3125,35291.3125,14.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1499_T1,13-Jul-04,D015,E400,S525,,413.31,413.31,412,1.31,625,818.75,M,0.64,50.38,0.02,RBR-LAT,1,Dec-17,524,41248.625,16.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1500_T1,15-Jul-04,D015,E475,S475,,403.22,403.22,402,1.22,625,762.5,M,0.88,48.81,0.02,YBR-LAT,1,Jun-18,671,37217.625,15.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1501_T1,20-Jul-04,D015,E500,S450,,398.63,398.63,398,0.63,625,393.75,M,0.77,52.96,0.03,RBR-LAT,1,Jun-18,303.1875,20853,11.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1502_T1,26-Jul-04,D015,E525,S450,,392.85,392.85,392,0.85,625,531.25,M,0.88,52.43,0.02,YBR-LAT,1,Aug-18,467.5,27853.4375,10.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1503_T1,14-Jul-04,D015,E425,S500,,411.24,411.24,410,1.24,625,775,M,0.76,53.71,0.05,RBR-LAT,1,Oct-17,589,41625.25,38.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1504_T1,14-Jul-04,D015,E375,S525,,413.69,413.69,413,0.69,625,431.25,M,0.62,47.17,0.04,RBR-LAT,1,Dec-18,267.375,20342.0625,17.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1505_T1,14-Jul-04,D016,E700,S350,,302.06,302.06,301,1.06,625,662.5,M,0.75,50.25,0.02,RBR-LAT,1,Dec-18,496.875,33290.625,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1506_T1,17-Jul-04,D016,E675,S350,,305.92,305.92,305,0.92,625,575,M,0.84,52.75,0.01,RBR-LAT,1,Dec-18,483,30331.25,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
