No,drillhole,Date ,Block,E/W,N/S,CoreRec,ELEV,FROM,TO,Length,AreaInfl,Vol, Category , %Ni , %Fe , %Co ,DESCRIPTION,Excavated,ExYear,NiVol,FeVol,CoVol,ORE CLASS,Cu. m.,%Ni,%Fe,%Co,Category,Excavated,%Ni,%Ni,%Fe,%Fe,,MINERAL RESOURCES AS OF YEAR 2018,,,,,,MINERAL RESOURCES AS OF YEAR 2018,,,,,,,,,,,,,,Statistic Data of 2016 Mineral Resources TMC,,,,Taga1,,,,,,,,,
201B,153_T1,12-Apr-03,C015,E525,S350,,235.5,235.5,235,0.5,625,312.5,M,0.65,49.25,0.02,RBR-LAT,1,2012,203.125,15390.625,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201B,154_T1,15-Apr-03,C015,E550,S325,,229.02,229.02,228,1.02,625,637.5,M,0.67,51.5,0.02,RBR-LAT,1,2012,427.125,32831.25,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201A,155_T1,21-Apr-03,C013,E825,S200,,195.81,195.81,195,0.81,625,506.25,M,0.83,49.35,0.04,RBR-LAT,1,Apr-09,420.1875,24983.4375,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201B,156_T1,21-Apr-03,C015,E575,S325,,225.41,225.41,224,1.41,625,881.25,M,0.84,50.11,0.03,RBR-LAT,1,2013,740.25,44159.4375,26.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201A,157_T1,22-Apr-03,C013,E775,S200,,203.37,203.37,202,1.37,625,856.25,M,0.8,49.51,0.03,RBR-LAT,1,Apr-09,685,42392.9375,25.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201B,158_T1,22-Apr-03,C016,E600,S350,,223.54,223.54,223,0.54,625,337.5,M,0.92,50.72,0.04,RBR-LAT,1,2013,310.5,17118,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201B,159_T1,22-Apr-03,C015,E525,S325,,228.16,228.16,227,1.16,625,725,M,0.79,49.87,0.03,RBR-LAT,1,2012,572.75,36155.75,21.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201A,160_T1,23-Apr-03,C013,E800,S175,,200.28,200.28,199,1.28,625,800,M,0.68,49.81,0.03,RBR-LAT,1,Oct-08,544,39848,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201B,161_T1,24-Apr-03,C015,E500,S350,,230.12,230.12,229,1.12,625,700,M,0.83,50.01,0.05,RBR-LAT,1,2012,581,35007,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201A,162_T1,25-Apr-03,C013,E775,S225,,209.83,209.83,209,0.83,625,518.75,M,0.85,48.89,0.03,RBR-LAT,1,Sep-09,440.9375,25361.6875,15.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,163_T1,26-Apr-03,C015,E475,S350,,231.32,231.32,230,1.32,625,825,M,1.01,49.41,0.06,RBR-LAT,1,2016,833.25,40763.25,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201B,164_T1,26-Apr-03,C015,E525,S300,,220.91,220.91,220,0.91,625,568.75,M,0.75,50.59,0.03,RBR-LAT,1,2012,426.5625,28773.0625,17.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201A,165_T1,28-Apr-03,C013,E800,S200,,205.67,205.67,205,0.67,625,418.75,M,0.84,49.72,0.03,RBR-LAT,1,Apr-09,351.75,20820.25,12.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201B,166_T1,29-Apr-03,C015,E550,S375,,238.85,238.85,238,0.85,625,531.25,M,0.76,50.57,0.03,RBR-LAT,1,2012,403.75,26865.3125,15.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201B,167_T1,30-Apr-03,C015,E500,S325,,222.14,222.14,221,1.14,625,712.5,M,0.93,49.45,0.07,RBR-LAT,1,2012,662.625,35233.125,49.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201A,168_T1,30-Apr-03,C013,E750,S225,,201.62,201.62,201,0.62,625,387.5,M,1.1,47.49,0.04,RBR-LAT,1,Sep-09,426.25,18402.375,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,169_T1,2-May-03,C015,E475,S325,,220.88,220.88,220,0.88,625,550,M,0.98,50.86,0.04,YBR-LAT,1,2016,539,27973,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201B,170_T1,3-May-03,C015,E500,S300,,215.64,215.64,215,0.64,625,400,M,0.84,49.49,0.03,RBR-LAT,1,2012,336,19796,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201B,171_T1,3-May-03,C015,E550,S400,,244.16,244.16,243,1.16,625,725,M,0.76,50.39,0.03,RBR-LAT,1,2012,551,36532.75,21.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201B,172_T1,3-May-03,C012,E525,S275,,211.86,211.86,211,0.86,625,537.5,M,0.86,50.82,0.04,RBR-LAT,1,2013,462.25,27315.75,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201B,173_T1,5-May-03,C013,E725,S225,,194.57,194.57,194,0.57,625,356.25,M,0.98,49.24,0.05,RBR-LAT,1,2010,349.125,17541.75,17.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201A,174_T1,5-May-03,C013,E800,S225,,213.21,213.21,212,1.21,625,756.25,M,1.16,49.79,0.15,RBR-YOR-LAT,1,Sep-09,877.25,37653.6875,113.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201B,175_T1,5-May-03,C015,E550,S425,,247.31,247.31,246,1.31,625,818.75,M,0.79,49.31,0.04,RBR-LAT,1,2012,646.8125,40372.5625,32.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201B,176_T1,6-May-03,C012,E525,S250,,204.28,204.28,203,1.28,625,800,M,0.94,50.93,0.04,RBR-LAT,1,2012,752,40744,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201B,177_T1,7-May-03,C013,E725,S200,,192.84,192.84,192,0.84,625,525,M,0.98,49.72,0.04,RBR-LAT,1,May-09,514.5,26103,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201A,178_T1,8-May-03,C013,E800,S250,,220.6,220.6,220,0.6,625,375,M,0.91,50.98,0.03,RBR-LAT,1,May-09,341.25,19117.5,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201B,179_T1,8-May-03,C015,E525,S425,,251.88,251.88,251,0.88,625,550,M,0.77,50.43,0.03,RBR-LAT,1,2012,423.5,27736.5,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,180_T1,9-May-03,C013,E725,S175,,191.84,191.84,191,0.84,625,525,M,0.92,49.43,0.03,YBR-LAT,1,2018,483,25950.75,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201B,181_T1,9-May-03,C015,E525,S375,,241.66,241.66,241,0.66,625,412.5,M,0.82,50.45,0.05,RBR-LAT,1,2012,338.25,20810.625,20.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201B,182_T1,10-May-03,C015,E525,S400,,247.48,247.48,246,1.48,625,925,M,0.77,50.3,0.03,RBR-LAT,1,2012,712.25,46527.5,27.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,183_T1,10-May-03,C015,E475,S375,,241.66,241.66,241,0.66,625,412.5,M,0.84,51.6,0.04,RBR-LAT,1,2014,346.5,21285,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201A,184_T1,13-May-03,C013,E850,S250,,215.08,215.08,214,1.08,625,675,M,1.05,49.43,0.03,RBR-LAT,1,2010,708.75,33365.25,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,185_T1,12-May-03,C024,E225,S375,,217.84,217.84,217,0.84,625,525,M,0.62,51.18,0.03,RBR-LAT,1,Jul-11,325.5,26869.5,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,186_T1,16-May-03,C024,E225,S425,,216.13,216.13,215,1.13,625,706.25,M,0.69,48.18,0.04,RBR-LAT,1,2015,487.3125,34027.125,28.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201A,187_T1,21-May-03,C013,E875,S150,,179.99,179.99,179,0.99,625,618.75,M,0.83,32.87,0.03,RBR-LAT/PG-HR,1,Sep-09,513.5625,20338.3125,18.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,188_T1,12-May-03,C024,E225,S400,,218.93,218.93,218,0.93,625,581.25,M,0.75,51.32,0.03,RBR-LAT,1,Jul-11,435.9375,29829.75,17.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,189_T1,15-May-03,C022,E375,S250,,203.02,203.02,202,1.02,625,637.5,M,0.79,50.14,0.03,RBR-LAT,1,2013,503.625,31964.25,19.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,190_T1,20-May-03,C022,E375,S225,,205.51,205.51,205,0.51,625,318.75,M,0.93,49.87,0.03,RBR-LAT,1,11-Nov,296.4375,15896.0625,9.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,191_T1,12-May-03,C022,E325,S225,,208.53,208.53,208,0.53,625,331.25,M,0.7,50.5,0.03,YBR-LAT,1,11-Nov,231.875,16728.125,9.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,192_T1,15-May-03,C022,E350,S225,,206.96,206.96,206,0.96,625,600,M,0.67,48.72,0.03,RBR-LAT,1,11-Nov,402,29232,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,193_T1,23-May-03,C022,E350,S250,,207.96,207.96,207,0.96,625,600,M,0.79,50.85,0.03,RBR-LAT,1,Nov-11,474,30510,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,194_T1,12-May-03,C024,E250,S400,,222.91,222.91,222,0.91,625,568.75,M,0.79,50.9,0.03,RBR-LAT,1,Jul-11,449.3125,28949.375,17.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,195_T1,20-May-03,C024,E275,S400,,223.16,223.16,222,1.16,625,725,M,0.86,49.99,0.02,RBR-LAT,1,Jul-11,623.5,36242.75,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,196_T1,21-May-03,C025,E300,S375,,221.53,221.53,221,0.53,625,331.25,M,0.82,20.32,0.02,RBR-LAT/YG-CS-SP,1,Jul-11,271.625,6731,6.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,197_T1,12-May-03,C024,E250,S425,,221.49,221.49,220,1.49,625,931.25,M,0.88,49.61,0.03,RBR-LAT,1,2014,819.5,46199.3125,27.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,198_T1,14-May-03,C022,E325,S200,,205.02,205.02,204,1.02,625,637.5,M,0.73,49.28,0.04,RBR-LAT,1,2013,465.375,31416,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,199_T1,15-May-03,C022,E350,S200,,205.3,205.3,204,1.3,625,812.5,M,0.58,48.99,0.03,RBR-LAT,1,2013,471.25,39804.375,24.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201A,200_T1,14-May-03,C013,E775,S250,,215.04,215.04,214,1.04,625,650,M,0.95,50.48,0.02,RBR-LAT,1,May-09,617.5,32812,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,201_T1,14-May-03,C024,E275,S375,,222.84,222.84,222,0.84,625,525,M,0.59,49.31,0.03,RBR-LAT,1,Jul-11,309.75,25887.75,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,202_T1,16-May-03,C024,E250,S375,,220.94,220.94,220,0.94,625,587.5,M,0.23,49.7,0.03,RBR-LAT,1,Jul-11,135.125,29198.75,17.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,203_T1,20-May-03,C024,E250,S350,,216.8,216.8,216,0.8,625,500,M,0.72,50.37,0.03,RBR-LAT,1,Jul-11,360,25185,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201B,204_T1,14-May-03,C015,E500,S425,,253.01,253.01,252,1.01,625,631.25,M,0.88,50.26,0.04,RBR-LAT,1,2012,555.5,31726.625,25.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201B,205_T1,14-May-03,C015,E500,S375,,242.43,242.43,241,1.43,625,893.75,M,0.85,49.55,0.04,RBR-LAT,1,2012,759.6875,44285.3125,35.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201B,206_T1,15-May-03,C015,E500,S400,,249.09,249.09,248,1.09,625,681.25,M,0.82,49.8,0.04,RBR-LAT,1,2012,558.625,33926.25,27.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201A,207_T1,15-May-03,C013,E850,S225,,204.78,204.78,204,0.78,625,487.5,M,1.11,49.39,0.14,RBR-LAT,1,2010,541.125,24077.625,68.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201A,208_T1,16-May-03,C013,E825,S225,,199.82,199.82,199,0.82,625,512.5,M,0.82,37.1,0.06,RBR-LAT/YG-HR,1,Sep-09,420.25,19013.75,30.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,209_T1,16-May-03,C015,E450,S375,,235.53,235.53,235,0.53,625,331.25,M,1.11,49.43,0.05,RBR-LAT,1,2014,367.6875,16373.6875,16.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,210_T1,16-May-03,C022,E350,S175,,203.72,203.72,203,0.72,625,450,M,0.79,49.83,0.04,RBR-LAT,1,11-Jul,355.5,22423.5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201A,211_T1,17-May-03,C013,E750,S250,,205.63,205.63,205,0.63,625,393.75,M,0.97,49.94,0.03,RBR-LAT,1,Aug-09,381.9375,19663.875,11.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201A,212_T1,19-May-03,C013,E825,S250,,211.81,211.81,211,0.81,625,506.25,M,0.94,49.75,0.04,RBR-LAT,1,May-09,475.875,25185.9375,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201B,213_T1,22-May-03,C013,E650,S275,,206.36,206.36,205,1.36,625,850,M,1.15,40.65,0.06,RBR-LAT/YG-CS-SP,1,2010,977.5,34552.5,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,214_T1,19-May-03,C015,E450,S400,,239.82,239.82,239,0.82,625,512.5,M,1.11,48.15,0.15,RBR-LAT,1,2014,568.875,24676.875,76.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,215_T1,20-May-03,C015,E475,S425,,248.77,248.77,248,0.77,625,481.25,M,0.87,48.46,0.04,RBR-YBR-LAT,1,2014,418.6875,23321.375,19.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
