HYYB0083,2005-07-30,,,,,592693.891,1052087.783,155.823,
HYYB0084,2005-07-29,,,,,592973.733,1052515.691,133.516,
HYYB0085,2005-07-28,,,,,592887.694,1052490.822,122.739,
HYYB0086,2005-07-26,,,,,592787.705,1052489.279,117.976,
HYYB0087,2005-07-18,,,,,592687.69,1052482.6,123.512,
HYYB0088,2005-07-27,,,,,592692.348,1052187.771,148.834,
HYYB0089,2005-07-28,,,,,592487.741,1052484.648,94.833,
HYYB0090,2005-07-27,,,,,592387.753,1052483.105,76.795,
HYYB0091,2005-08-01,,,,,592589.272,1052386.204,117.413,
HYYB0092,2005-08-01,,,,,592489.284,1052384.66,98.342,
HYYB0093,2005-08-01,,,,,592389.296,1052383.117,82.816,
HYYB0094,2005-08-01,,,,,592973.733,1052415.691,120.896,
HYYB0095,2005-07-30,,,,,592889.237,1052390.835,118.149,
HYYB0096,2005-07-29,,,,,592789.248,1052389.291,128.627,
HYYB0097,2005-07-20,,,,,592689.26,1052387.747,133.857,
HYYB0098,2005-07-28,,,,,592587.729,1052486.192,111.743,
HYYB0099,2005-08-05,,,,,592490.827,1052284.673,105.772,
HYYB0100,2005-08-03,,,,,592390.84,1052283.129,89.561,
HYYB0101,2005-08-03,,,,,593373.594,1052516.186,162.349,
HYYB0102,2005-08-01,,,,,593273.733,1052715.691,136.001,
HYYB0103,2005-08-04,,,,,593073.733,1052515.691,138.392,
HYYB0104,2005-08-05,,,,,592973.733,1052315.691,136.83,
HYYB0105,2005-08-02,,,,,592890.78,1052290.847,137.63,
HYYB0106,2005-08-02,,,,,592792.336,1052189.314,150.61,
HYYB0107,2005-07-23,,,,,592690.803,1052287.759,144.349,
HYYB0108,2005-08-03,,,,,592590.815,1052286.216,129.733,
HYYB0109,2005-08-08,,,,,592492.371,1052184.685,100.68,
HYYB0110,2005-07-28,,,,,592697.013,1051885.66,125.596,
HYYB0111,2005-08-07,,,,,593373.733,1052415.691,176.224,
HYYB0112,2005-08-04,,,,,593273.733,1052615.691,147.429,
HYYB0113,2005-08-13,,,,,593073.733,1052415.691,142.814,
HYYB0114,2005-08-11,,,,,592992.311,1052192.402,150.533,
HYYB0115,2005-08-04,,,,,592892.323,1052190.858,153.268,
HYYB0116,2005-08-16,,,,,592700.835,1051685.696,79.311,
HYYB0117,2005-08-03,,,,,592695.434,1051987.795,144.297,
HYYB0118,2005-08-08,,,,,592592.359,1052186.228,120.66,
HYYB0119,2005-08-10,,,,,592698.924,1051785.678,80.409,
HYYB0120,2005-08-11,,,,,592392.383,1052183.141,68.778,
HYYB0121,2005-08-12,,,,,593373.733,1052315.691,179.653,
HYYB0122,2005-08-10,,,,,593173.733,1052615.691,134.854,
HYYB0123,2005-08-17,,,,,593173.733,1052515.691,131.219,
HYYB0124,2005-08-19,,,,,593373.733,1052215.691,194.523,
HYYB0125,2005-08-19,,,,,592893.867,1052090.87,166.216,
HYYB0126,2005-08-26,,,,,592793.879,1052089.327,164.25,
HYYB0127,2005-08-22,,,,,593073.733,1052315.691,158.919,
HYYB0128,2005-08-12,,,,,592593.902,1052086.24,116.641,
HYYB0129,2005-08-13,,,,,592493.914,1052084.697,92.159,
HYYB0130,2005-08-14,,,,,592393.926,1052083.153,48.661,
HYYB0131,2005-08-14,,,,,593473.733,1052315.691,159.141,
HYYB0132,2005-08-19,,,,,592800.817,1051687.607,92.499,
HYYB0133,2005-08-19,,,,,593273.733,1052515.691,151.904,
HYYB0134,2005-08-27,,,,,592802.728,1051587.626,113.49,
HYYB0135,2005-08-22,,,,,593473.733,1052415.691,159.879,
HYYB0136,2005-08-28,,,,,593373.584,1052015.895,213.299,
HYYB0137,2005-08-24,,,,,593173.733,1052415.691,150.717,
HYYB0138,2005-08-14,,,,,592595.446,1051986.252,111.669,
HYYB0139,2005-08-25,,,,,593273.733,1052415.691,159.871,
