Hole no.,Date ,Block,E/W,N/S,ELEV,%Ni,%Fe,%Co
56-55 T3DL,16-Sep-11,,591740.968,105154.02,358.14,1.0900,47.3600,0.0500
16-183 T3DL,6-Sep-11,,591640.968,1051004.02,417.74,0.7400,48.0800,0.0100
25-184 T3DL,9-Sep-11,,591665.968,1051004.02,414.26,0.6600,48.8800,0.0300
42-185 T3DL,14-Sep-11,,591690.968,1051004.02,408.17,1.0900,49.4100,0.1000
68-186 T3DL,20-Sep-11,,591740.968,1051004.02,346.07,1.1100,50.6900,0.0800
69-187 T3DL,21-Sep-11,,591740.968,1051004.02,347.6,1.0700,55.6600,0.1000
76-188 T3DL,22-Sep-11,,591790.968,1051004.02,337.54,1.4900,48.4400,0.2400
88 T3DL 189,23-Sep-11,,591790.968,1051004.02,322.35,1.6000,31.4900,0.0700
96 T3DL 190,24-Sep-11,,591815.968,1051004.02,382.15,0.8400,50.1800,0.0200
97 T3DL 191,26-Sep-11,,591840.968,1051004.02,365.16,1.0500,55.1500,0.0300
119 T3DL 193,29-Sep-11,,591890.968,1051004.02,337.58,0.8800,36.0000,0.0200
128 T3DL 195,1-Oct-11,,591940.968,1051004.02,327.24,0.7800,52.1700,0.0300
132 T3DL 196,1-Oct-11,,591965.968,1051004.02,318.58,0.7000,53.0400,0.0100
140 T3DL 197,6-Oct-11,,591990.968,1051004.02,312.13,0.8000,53.7200,0.0300
32-174 T3DL,13-Sep-11,,591665.968,1051029.02,384.75,1.1300,51.1200,0.0400
45-175 T3DL,15-Sep-11,,591715.968,1051029.02,419.16,0.7300,48.2200,0.0300
82-176 T3DL,23-Sep-11,,591765.968,1051029.02,397.47,1.2000,49.0700,0.1500
10 T3DL 177,27-Sep-11,,591815.968,1051029.02,315.71,1.1100,47.4900,0.0700
115 T3DL 178,28-Sep-11,,591865.968,1051029.02,306.98,0.8000,52.2100,0.0200
127 T3DL 179,30-Sep-11,,591915.968,1051029.02,331.76,0.9400,26.2200,0.0500
137 T3DL 180,5-Oct-11,,591965.968,1051029.02,306.22,0.8300,49.6200,0.0200
21-155 T3DL,7-Sep-11,,591640.968,1051054.02,418.59,0.7500,54.3800,0.0200
39-156 T3DL,13-Sep-11,,591665.968,1051054.02,424.97,0.7400,55.2500,0.0200
58-157 T3DL,17-Sep-11,,591690.968,1051054.02,421.31,0.7200,49.5400,0.0500
59-158 T3DL,19-Sep-11,,591715.968,1051054.02,413.62,0.9100,51.0400,0.0700
84-159 T3DL,23-Sep-11,,591740.968,1051054.02,327.89,0.3900,17.5400,0.0300
89 T3DL161,23-Sep-11,,591790.968,1051054.02,375.18,1.1800,47.5300,0.1000
94 T3DL 162,24-Sep-11,,591815.968,1051054.02,312.14,1.0000,51.7100,0.0400
104 T3DL 163,27-Sep-11,,591840.968,1051054.02,363.55,0.9600,53.3300,0.0300
105 T3DL 164,27-Sep-11,,591865.968,1051054.02,350.71,1.0000,53.5000,0.0400
118 T3DL 165,29-Sep-11,,591890.968,1051054.02,335.82,0.9200,48.8700,0.0300
126 T3DL 166,1-Oct-11,,591915.968,1051054.02,326.49,0.9700,51.7100,0.0200
131 T3DL 167,1-Oct-11,,591940.968,1051054.02,324.89,1.0800,51.6500,0.0300
135 T3DL 168,6-Oct-11,,591965.968,1051054.02,318.59,1.0100,49.0900,0.1200
136 T3DL 169,5-Oct-11,,591990.968,1051054.02,292.72,0.7500,53.1100,0.0300
14-143 T3DL,6-Sep-11,,591515.968,1051079.02,426.79,0.7700,46.9600,0.0200
23-144 T3DL,8-Sep-11,,591565.968,1051079.02,417.76,0.7600,49.7600,0.0100
17-145 T3DL,6-Sep-11,,591615.968,1051079.02,397.29,0.7800,49.6000,0.0700
49-146 T3DL,15-Sep-11,,591665.968,1051079.02,412.38,0.7500,35.6500,0.0700
70-147 T3DL,20-Sep-11,,591715.968,1051079.02,389.64,0.7500,52.6000,0.0600
95 T3DL 148,24-Sep-11,,591765.968,1051079.02,356.99,1.1900,50.9700,0.0900
100 T3DL 149,26-Sep-11,,591840.968,1051079.02,379.18,0.9500,51.6000,0.0500
116 T3DL 150,28-Sep-11,,591865.968,1051079.02,346.47,0.9100,56.9500,0.0500
125 T3DL 151,30-Sep-11,,591915.968,1051079.02,298.78,0.7800,49.3200,
139 T3DL 152,6-Oct-11,,591965.968,1051079.02,319.67,0.8900,53.4500,0.0300
12-119 T3DL,5-Sep-11,,591515.968,1051104.02,421.66,0.9000,49.7600,0.0300
18-120 T3DL,7-Sep-11,,591540.968,1051104.02,413.69,0.6900,50.8500,0.0200
27-121 T3DL,10-Sep-11,,591565.968,1051104.02,384.54,0.6000,49.1800,0.0300
26-122 T3DL,9-Sep-11,,591590.968,1051104.02,386.22,0.7700,51.4000,0.0500
15-123 T3DL,6-Sep-11,,591615.968,1051104.02,413.5,0.7800,49.1000,0.1100
46-124 T3DL,14-Sep-11,,591640.968,1051104.02,381.04,0.3400,45.2300,0.0200
60-125 T3DL,16-Sep-11,,591665.968,1051104.02,393.18,0.7000,49.8100,0.0700
71-126 T3DL,21-Sep-11,,591715.968,1051104.02,327.69,0.9500,22.7700,0.0400
77-127 T3DL,22-Sep-11,,591715.968,1051104.02,326.25,1.0100,51.1900,0.0700
83-128 T3DL,23-Sep-11,,591740.968,1051104.02,318.94,0.7800,35.7200,0.0800
99 T3DL 129,26-Sep-11,,591765.968,1051104.02,325.2,1.0500,51.7300,0.0800
101 T3DL 130,27-Sep-11,,591790.968,1051104.02,354.93,0.9700,52.9200,0.0400
107 T3DL 131,28-Sep-11,,591815.968,1051104.02,354.38,1.0100,51.1800,0.0300
114 T3DL 133,29-Sep-11,,591865.968,1051104.02,360.61,0.7700,53.8400,0.0200
122 T3DL 134,30-Sep-11,,591890.968,1051104.02,290.88,1.0700,43.4600,0.0500
130 T3DL 135,1-Oct-11,,591940.968,1051104.02,319.35,0.8500,51.4300,0.0400
138 T3DL 136,5-Oct-11,,591940.968,1051104.02,308.74,0.8800,53.8300,0.0200
10-107 T3DL,3-Sep-11,,591515.968,1051129.02,417.86,0.5500,49.1900,0.0300
30-108 T3DL,12-Sep-11,,591565.968,1051129.02,422.76,0.4800,42.3100,0.0300
47-109 T3DL,15-Sep-11,,591615.968,1051129.02,415.62,0.3300,11.7800,0.0200
61-110 T3DL,16-Sep-11,,591665.968,1051129.02,402.62,0.3600,11.5700,0.0300
80-111 T3DL,22-Sep-11,,591715.968,1051129.02,391.46,0.9100,55.4200,0.0400
106 T3DL 113,27-Sep-11,,591815.968,1051129.02,347.42,0.8400,54.8400,0.0300
117 T3DL 114,29-Sep-11,,591865.968,1051129.02,338.17,0.6800,51.9300,0.0100
129 T3DL 115,1-Oct-11,,591915.968,1051129.02,330.85,0.8600,54.5500,0.0300
07-46 T3DL,2-Sep-11,,591515.968,1051154.02,415.67,0.5800,48.1200,0.0300
49 T3DL,13-Sep-11,,591590.968,1051154.02,401.31,0.7500,51.2600,0.0400
48-51 T3DL,16-Sep-11,,591640.968,1051154.02,376.86,0.7500,50.7400,0.0300
55-52 T3DL,17-Sep-11,,591665.968,1051154.02,371.99,0.8200,53.9700,0.0500
66-53 T3DL,20-Sep-11,,591690.968,1051154.02,337.73,0.8300,53.7500,0.0800
67-54 T3DL,21-Sep-11,,591715.968,1051154.02,414.45,1.0200,50.6700,0.0500
62-56 T3DL,19-Sep-11,,591765.968,1051154.02,356.42,1.4200,37.2700,0.0800
65-57 T3DL,19-Sep-11,,591815.968,1051154.02,346.47,0.8900,54.7500,0.0500
113 T3DL 132,28-Sep-11,,591840.968,1051154.02,312.63,1.0300,52.1000,
92 T3DL 59,23-Sep-11,,591865.968,1051154.02,318.29,0.8600,46.0800,0.0200
98 T3DL 60,24-Sep-11,,591890.968,1051154.02,371.56,0.8000,55.0500,0.0200
102 T3DL 61,27-Sep-11,,591915.968,1051154.02,365.65,0.8000,55.0900,0.0200
36-38 T3DL,13-Sep-11,,591615.968,1051179.02,,0.7100,49.7900,0.1000
54-39 T3DL,19-Sep-11,,591665.968,1051179.02,423.59,0.8600,51.0800,0.0500
50-40 T3DL,15-Sep-11,,591715.968,1051179.02,407.68,0.7700,50.9600,0.0400
85 T3DL 41,22-Sep-11,,591865.968,1051179.02,316.87,0.8000,6.2200,0.0100
111 T3DL 42,28-Sep-11,,591915.968,1051179.02,302.44,0.8100,52.6500,0.0200
13 T3DL,22-Aug-11,,591515.968,1051204.02,404.02,0.5600,50.3100,0.0400
14 T3DL,24-Aug-11,,591540.968,1051204.02,402.8,0.7200,48.6400,0.0800
19-16 T3DL,7-Sep-11,,591590.968,1051204.02,424.79,0.9000,48.9700,0.0500
31-17 T3DL,12-Sep-11,,591615.968,1051204.02,379.9,0.7500,49.6300,0.0300
41-18 T3DL,14-Sep-11,,591640.968,1051204.02,382.65,0.6200,51.0600,0.0600
40-19 T3DL,14-Sep-11,,591665.968,1051204.02,386.12,0.7000,53.0300,0.0400
44-20 T3DL,14-Sep-11,,591690.968,1051204.02,374.08,1.0900,50.7200,0.0600
52-21 T3DL,16-Sep-11,,591715.968,1051204.02,360.75,1.1200,43.7800,0.1300
53-22 T3DL,16-Sep-11,,591740.968,1051204.02,367.97,0.8700,50.7700,0.0900
72-23 T3DL,20-Sep-11,,591765.968,1051204.02,401.93,1.0100,53.4000,0.0600
73-24 T3DL,20-Sep-11,,591815.968,1051204.02,395.16,1.2400,52.2000,0.0400
81-26 T3DL,21-Sep-11,,591865.968,1051204.02,399.19,1.0200,51.9400,0.0300
112 T3DL 27,29-Sep-11,,591890.968,1051204.02,335.8,0.8100,53.5600,0.0400
123 T3DL 28,30-Sep-11,,591915.968,1051204.02,325.26,0.9600,50.8700,0.0300
133 T3DL 29,5-Oct-11,,591940.968,1051204.02,324,0.4900,44.4900,0.0100
134 T3DL 30,5-Oct-11,,591965.968,1051204.02,303.76,0.7300,40.1600,0.0100
01-1 T3DL,20-Aug-11,,591515.968,1051229.02,412.92,0.6500,50.8100,0.0500
09-02 T3DL,3-Sep-11,,591565.968,1051229.02,396.01,0.8000,47.5000,0.0300
37 T3DL,20-Aug-11,,591590.968,1051229.02,410.8,0.6300,50.8700,0.0500
35-03 T3DL,13-Sep-11,,591615.968,1051229.02,412.68,0.5400,42.7300,0.0300
43-4 T3DL,15-Sep-11,,591665.968,1051229.02,403.5,0.7700,48.9200,0.0400
51-5 T3DL,15-Sep-11,,591715.968,1051229.02,427.81,0.8000,49.7000,0.0600
75-6 T3DL,20-Sep-11,,591790.968,1051229.02,406.59,1.3000,53.3200,0.0600
87 T3DL-7,22-Sep-11,,591815.968,1051229.02,384.27,0.9400,45.7300,0.0900
74-8 T3DL,21-Sep-11,,591865.968,1051229.02,307.84,1.1000,52.3600,0.1200
124 T3DL 9,30-Sep-11,,591915.968,1051229.02,310.19,1.1300,48.9300,
57-12 T3DL,17-Sep-11,,592090.968,1051229.02,366.95,1.2100,7.7200,0.0200
20-58 T3DL,7-Sep-11,,591515.968,1051254.02,406.24,0.6300,52.4200,0.0500
13-84 T3DL,6-Sep-11,,591540.968,1051254.02,413.4,0.6800,51.7400,0.0900
11-85 T3DL,5-Sep-11,,591565.968,1051254.02,404.86,0.8400,51.9100,0.0500
38-88 T3DL,13-Sep-11,,591640.968,1051254.02,372.05,0.7900,51.2100,0.0700
63-91 T3DL,17-Sep-11,,591715.968,1051254.02,410.44,0.7200,51.4600,0.0600
64-92 T3DL,19-Sep-11,,591740.968,1051254.02,349.24,0.9000,49.1800,0.0500
78-93 T3DL,21-Sep-11,,591790.968,1051254.02,344.32,1.1800,53.3900,0.2200
86 T3DL-94,22-Sep-11,,591790.968,1051254.02,378.49,0.9800,54.6200,0.0500
91 T3DL 95,23-Sep-11,,591815.968,1051254.02,365.23,1.2200,54.1800,0.0400
108 T3DL 96,27-Sep-11,,591840.968,1051254.02,341.55,0.9100,54.7900,
109 T3DL 97,28-Sep-11,,591865.968,1051254.02,311.49,0.9300,50.0300,0.0400
22-25 T3DL,7-Sep-11,,591515.968,1051279.02,381.63,0.6900,50.8300,0.0500
24-69 T3DL,9-Sep-11,,591565.968,1051279.02,407.01,0.7100,53.7500,0.0700
33-70 T3DL,12-Sep-11,,591615.968,1051279.02,374.84,0.6900,51.5900,0.0300
34-71 T3DL,13-Sep-11,,591640.968,1051279.02,392.17,1.1800,50.2400,0.0600
79-75 T3DL,21-Sep-11,,591765.968,1051279.02,386.2,0.9800,55.0300,0.0600
110 T3DL 77,28-Sep-11,,591865.968,1051279.02,302.01,0.9200,51.6800,0.0300
121 T3DL 78,29-Sep-11,,591915.968,1051279.02,333.55,0.8700,50.1000,0.0300
6944_T3,03-Aug-01,G061,E000,S000,254.78,0.49,49.34,0.03
547_T3_06,2-Jun-06,F061,E000,S000,289.1,0.42,47.14,0.04
6943_T3,02-Aug-01,G061,E025,S000,261.21,0.67,44.92,0.03
2049_T3,10-Sep-96,E051,E025,S000,222.31,0.98,54.15,0.05
3747_T3,27-Oct-98,D051,E025,S000,413.33,0.89,51.83,0.1
6932_T3,03-Aug-01,G061,E050,S000,258.42,,,
2056_T3,13-Sep-96,E051,E050,S000,239.43,,,
3784_T3,19-Nov-98,D051,E050,S000,432.27,,,
546_T3_06,2-Jun-06,F061,E050,S000,302.32,,,
6920_T3,01-Aug-01,G061,E075,S000,262.55,,,
5849_T3,08-Aug-00,F061,E075,S000,135.7,,,
3780_T3,18-Nov-98,D051,E075,S000,451.5,,,
2236_T3,27-Nov-96,E051,E075,S000,237.24,,,
6921_T3,02-Aug-01,G061,E100,S000,261.96,,,
4641_T3,02-Oct-99,F061,E100,S000,192.54,,,
3776_T3,16-Nov-98,D051,E100,S000,423.78,,,
2068_T3,17-Sep-96,E051,E100,S000,252.55,,,
490_T3_06,19-Apr-06,C051,E100,S000,289.69,,,
6922_T3,03-Aug-01,G061,E125,S000,259.65,,,
2238_T3,10-Jan-97,E051,E125,S000,222.92,,,
3767_T3,10-Nov-98,D051,E125,S000,433.39,,,
4422_T3,14-Aug-99,F051,E125,S000,239.84,,,
2141_T3,14-Oct-96,F061,E125,S000,199.85,,,
7156_T3,17-Sep-01,G051,E125,S000,373.71,,,
2033_T3,05-Sep-96,E051,E150,S000,220.98,,,
7157_T3,18-Sep-01,G051,E150,S000,364.84,,,
4439_T3,19-Aug-99,F051,E150,S000,232.79,,,
3724_T3,23-Oct-98,D051,E150,S000,492.53,,,
6933_T3,30-Jul-01,G061,E150,S000,266.98,,,
1900_T3,30-Jul-96,F061,E150,S000,248.29,,,
480_T3_06,6-Apr-06,C051,E150,S000,343.61,,,
1906_T3,02-Aug-96,F061,E175,S000,248.4,,,
3683_T3,06-Oct-98,D051,E175,S000,464.76,,,
2047_T3,11-Sep-96,E051,E175,S000,218.8,,,
7182_T3,19-Sep-01,G051,E175,S000,263.12,,,
4441_T3,20-Aug-99,F051,E175,S000,216.66,,,
6912_T3,27-Jul-01,G061,E175,S000,268.23,,,
6952_T3,03-Aug-01,G061,E200,S000,259.81,,,
3690_T3,07-Oct-98,D051,E200,S000,472.94,,,
4153_T3,08-Jun-99,F051,E200,S000,435.23,,,
VDH0403,13-May-88,F061,E200,S000,207.31,,,
VDH0383,20-Apr-88,E051,E200,S000,189.06,,,
7183_T3,20-Sep-01,G051,E200,S000,412.93,,,
470_T3_06,31-Mar-06,C051,E200,S000,332.87,,,
1928_T3,02-Aug-96,F061,E225,S000,226.73,,,
2120_T3,05-Oct-96,E051,E225,S000,208.5,,,
4172_T3,14-Jun-99,F051,E225,S000,413.24,,,
3720_T3,19-Oct-98,D051,E225,S000,474,,,
7184_T3,21-Sep-01,G051,E225,S000,399.06,,,
7216_T3,01-Oct-01,G051,E250,S000,385.14,,,
2114_T3,04-Oct-96,E051,E250,S000,208.47,,,
4179_T3,14-Jun-99,F051,E250,S000,410.13,,,
489_T3_06,18-Apr-06,C051,E250,S000,341.14,,,
1903_T3,23-Jul-96,F061,E250,S000,229.37,,,
1909_T3,01-Aug-96,F061,E275,S000,219.6,,,
2108_T3,03-Oct-96,E051,E275,S000,248.35,,,
7124_T3,10-Sep-01,G051,E275,S000,393.58,,,
4185_T3,16-Jun-99,F051,E275,S000,475.83,,,
VDH0136,03-Jun-87,F052,E300,S000,160.43,,,
VDH0143,13-Jul-87,F062,E300,S000,191.79,,,
485_T3_06,16-Sep-06,E064,E300,S000,190.21,,,
VDH0148,21-Jul-87,E052,E300,S000,215.13,,,
7115_T3,05-Sep-01,G052,E325,S000,379.54,,,
3483_T3,17-Aug-98,F052,E325,S000,231.35,,,
1901_T3,20-Jul-96,F062,E325,S000,293.94,,,
2078_T3,20-Sep-96,E052,E325,S000,244.08,,,
7104_T3,04-Sep-01,G052,E350,S000,389.79,,,
2054_T3,13-Sep-96,E052,E350,S000,230.54,,,
1895_T3,17-Jul-96,F062,E350,S000,275.16,,,
2983_T3,18-Dec-97,F052,E350,S000,124.98,,,
479_T3_06,5-Apr-06,C052,E350,S000,339.18,,,
2191_T3,09-Nov-96,F062,E375,S000,225.22,,,
2306_T3,12-Feb-97,E052,E375,S000,219.53,,,
7155_T3,15-Sep-01,G052,E375,S000,410.13,,,
2999_T3,21-Jan-98,F052,E375,S000,151.55,,,
7140_T3,14-Sep-01,G052,E400,S000,403.25,,,
VDH0404,16-May-88,F062,E400,S000,208.02,,,
487_T3_06,17-Apr-06,C052,E400,S000,350.88,,,
3047_T3,27-Feb-98,F052,E400,S000,395.7,,,
2651_T3,09-Aug-97,E052,E425,S000,284.95,,,
3368_T3,10-Jul-98,F062,E425,S000,343.31,,,
7139_T3,13-Sep-01,G052,E425,S000,375.88,,,
3041_T3,25-Feb-98,F052,E425,S000,371.05,,,
3343_T3,06-Jul-98,F062,E450,S000,398.13,,,
2572_T3,07-Aug-97,E052,E450,S000,326.37,,,
7138_T3,12-Sep-01,G052,E450,S000,384.87,,,
3035_T3,20-Feb-98,F052,E450,S000,354.66,,,
503_T3_06,27-Apr-06,C052,E450,S000,284.95,,,
5654_T3,04-Jul-00,F062,E475,S000,115.44,,,
7120_T3,11-Sep-01,G052,E475,S000,389.71,,,
2557_T3,14-Aug-97,E052,E475,S000,386.27,,,
3029_T3,19-Feb-98,F052,E475,S000,134.58,,,
7119_T3,07-Sep-01,G052,E500,S000,386.86,,,
5579_T3,12-Jun-00,F062,E500,S000,94.27,,,
2556_T3,14-Aug-97,E052,E500,S000,385.17,,,
508_T3_06,2-May-06,C052,E500,S000,323.77,,,
3501_T3,21-Aug-98,F052,E500,S000,335.16,,,
5553_T3,06-Jun-00,F062,E525,S000,140.91,,,
7018_T3,17-Aug-01,G052,E525,S000,436.08,,,
3506_T3,22-Aug-98,F052,E525,S000,317.98,,,
2576_T3,30-Jul-97,E052,E525,S000,334.23,,,
3553_T3,02-Sep-98,F052,E550,S000,288.3,,,
5523_T3,03-Jun-00,F062,E550,S000,136.44,,,
2624_T3,06-Aug-97,E052,E550,S000,322.66,,,
4292_T3,09-Jul-99,D042,E550,S000,300.45,,,
7015_T3,15-Aug-01,G052,E550,S000,193.71,,,
509_T3,24-Jan-92,C032 ,E550,S000,214.38,,,
513_T3_06,4-May-06,C052,E550,S000,265.07,,,
2146_T3,18-Oct-96,D042,E575,S000,226.32,,,
7025_T3,20-Aug-01,G052,E575,S000,422.93,,,
3542_T3,31-Aug-98,F052,E575,S000,315.76,,,
VDH0138,04-Jul-87,F053,E600,S000,224.6,,,
4356_T3,28-Jul-99,D043,E600,S000,387.97,,,
6993_T3,14-Aug-01,G063,E625,S000,203.52,,,
2151_T3,18-Oct-96,D043,E625,S000,196.67,,,
4335_T3,27-Jul-99,F053,E625,S000,371.58,,,
6967_T3,07-Aug-01,G053,E650,S000,244.21,,,
2145_T3,18-Oct-96,D043,E650,S000,219.09,,,
4341_T3,28-Jul-99,F053,E650,S000,417.78,,,
4368_T3,02-Aug-99,D043,E675,S000,380.22,,,
4381_T3,06-Aug-99,F053,E675,S000,166.63,,,
7003_T3,14-Aug-01,G053,E675,S000,203.5,,,
6984_T3,13-Aug-01,G053,E700,S000,203.35,,,
4344_T3,23-Jul-99,F053,E700,S000,267.07,,,
3790_T3,20-Nov-98,D043,E725,S000,423.22,,,
4450_T3,21-Aug-99,F053,E725,S000,239.44,,,
6934_T3,31-Jul-01,G053,E725,S000,265.06,,,
6935_T3,01-Aug-01,G053,E750,S000,257.02,,,
2549_T3,16-Jul-97,E043,E750,S000,263.72,,,
3813_T3,28-Nov-98,D043,E750,S000,450.41,,,
395_T5_06,4-Feb-06,F053,E750,S000,374.29,,,
3816_T3,01-Dec-98,D043,E775,S000,450.28,,,
7010_T3,15-Aug-01,G053,E775,S000,199.73,,,
2516_T3,16-Jul-97,E043,E775,S000,214.76,,,
398_T3_06,8-Feb-06,F053,E775,S000,373.85,,,
3831_T3,09-Dec-98,D043,E800,S000,451,,,
2474_T3,09-Jul-97,E043,E800,S000,203.21,,,
401_T3_06,14-Feb-06,F053,E800,S000,335.62,,,
7011_T3,15-Aug-01,G053,E800,S000,201.34,,,
3818_T3,04-Nov-98,D043,E825,S000,441.08,,,
2450_T3,05-Jul-97,E043,E825,S000,223.28,,,
6950_T3,06-Aug-01,G053,E825,S000,254.58,,,
2053_T3,12-Sep-96,E043,E850,S000,223.18,,,
7001_T3,13-Aug-01,G053,E850,S000,201.39,,,
405_T3_06,15-Feb-06,F053,E850,S000,338.15,,,
7002_T3,14-Aug-01,G053,E875,S000,209.55,,,
2065_T3,16-Sep-96,E043,E875,S000,249.56,,,
3825_T3,04-Dec-98,D051,E000,S025,461.13,,,
2077_T3,19-Sep-96,E051,E000,S025,217.98,,,
3586_T3,10-Sep-98,D051,E025,S025,236.72,,,
2399_T3,13-Jun-97,E051,E025,S025,208.77,,,
3573_T3,09-Sep-98,D051,E050,S025,282.81,,,
2393_T3,10-Jun-97,E051,E050,S025,218.08,,,
3572_T3,05-Sep-98,D051,E075,S025,256.75,,,
4655_T3,06-Oct-99,F061,E075,S025,153.36,,,
2260_T3,20-Jan-97,E051,E075,S025,248.08,,,
4642_T3,04-Oct-99,F061,E100,S025,174.61,,,
3772_T3,12-Nov-98,D051,E100,S025,485.52,,,
2248_T3,14-Jan-97,E051,E100,S025,224.13,,,
3760_T3,07-Nov-98,D051,E125,S025,420.63,,,
2244_T3,11-Jan-97,E051,E125,S025,221.68,,,
4426_T3,14-Aug-99,F051,E125,S025,223.17,,,
2165_T3,19-Oct-96,F061,E125,S025,253.98,,,
2250_T3,16-Jan-97,E051,E150,S025,252.32,,,
4427_T3,19-Aug-99,F051,E150,S025,229.13,,,
3738_T3,24-Oct-98,D051,E150,S025,415.87,,,
1893_T3,27-Jul-96,F061,E150,S025,231.29,,,
3679_T3,03-Oct-98,D051,E175,S025,463.32,,,
2233_T3,11-Jan-97,E051,E175,S025,253.85,,,
4442_T3,20-Aug-99,F051,E175,S025,227.51,,,
2167_T3,22-Oct-96,F061,E175,S025,220.81,,,
4147_T3,04-Jun-99,F051,E200,S025,459.61,,,
3692_T3,08-Oct-98,D051,E200,S025,418.71,,,
2132_T3,12-Oct-96,E051,E200,S025,196.66,,,
1894_T3,23-Jul-96,F061,E200,S025,234.01,,,
4159_T3,08-Jun-99,F051,E225,S025,424.28,,,
2131_T3,15-Oct-96,F061,E225,S025,218.58,,,
3714_T3,17-Oct-98,D041,E225,S025,473.82,,,
2317_T3,28-May-97,E051,E225,S025,228.68,,,
1897_T3,20-Jul-96,F061,E250,S025,270.97,,,
2316_T3,27-May-97,E051,E250,S025,225.24,,,
4226_T3,29-Jun-99,F051,E250,S025,398.29,,,
2173_T3,24-Oct-96,F061,E275,S025,215.65,,,
4220_T3,26-Jun-99,F051,E275,S025,423.17,,,
2328_T3,31-May-97,E051,E275,S025,225.97,,,
7125_T3,11-Sep-01,G062,E300,S025,407.08,,,
2072_T3,18-Sep-96,E052,E300,S025,213.46,,,
3500_T3,21-Aug-98,F052,E300,S025,390.66,,,
1937_T3,31-Jul-96,F062,E300,S025,227.56,,,
2359_T3,07-Jun-97,E052,E325,S025,200.84,,,
3487_T3,18-Aug-98,F052,E325,S025,228.58,,,
2190_T3,26-Oct-96,F062,E325,S025,225.09,,,
2366_T3,05-Jun-97,E052,E350,S025,206.02,,,
2993_T3,19-Jan-98,F052,E350,S025,143.59,,,
2184_T3,23-Oct-96,F062,E350,S025,219.39,,,
3059_T3,05-Mar-98,F052,E375,S025,332.1,,,
2287_T3,12-Mar-97,E052,E375,S025,215.02,,,
2160_T3,15-Oct-96,F062,E375,S025,198.56,,,
3374_T3,14-Jul-98,F062,E400,S025,359.36,,,
3065_T3,14-Jun-98,F052,E400,S025,210.83,,,
2646_T3,21-Aug-97,E052,E400,S025,131.51,,,
2578_T3,08-Aug-97,E052,E425,S025,321.75,,,
3373_T3,11-Jul-98,F062,E425,S025,304.54,,,
3071_T3,16-Mar-98,F052,E425,S025,385.12,,,
3352_T3,07-Jul-98,F062,E450,S025,433.71,,,
2584_T3,12-Aug-97,E052,E450,S025,284.93,,,
3077_T3,17-Mar-98,F052,E450,S025,379.74,,,
5653_T3,07-Jul-00,F062,E475,S025,106.23,,,
2669_T3,13-Aug-97,E052,E475,S025,272.76,,,
3089_T3,19-Mar-98,F052,E475,S025,364.06,,,
2642_T3,09-Aug-97,E052,E500,S025,330.71,,,
3471_T3,12-Aug-98,F052,E500,S025,269.15,,,
5580_T3,13-Jun-00,F062,E500,S025,116.69,,,
5552_T3,05-Jun-00,F062,E525,S025,138.34,,,
2636_T3,08-Aug-97,E052,E525,S025,279.5,,,
3511_T3,24-Aug-98,F052,E525,S025,206.96,,,
3548_T3,01-Sep-98,F052,E550,S025,307.16,,,
2618_T3,06-Aug-97,E052,E550,S025,321.61,,,
4298_T3,09-Jul-99,D042,E550,S025,332.03,,,
3445_T3,05-Aug-98,F052,E575,S025,414.17,,,
4286_T3,08-Jul-99,D042,E575,S025,217.77,,,
2140_T3,16-Oct-96,D043,E600,S025,221.48,,,
4195_T3,22-Jun-99,F053,E600,S025,403.4,,,
2162_T3,19-Oct-96,D043,E625,S025,197.82,,,
4334_T3,22-Jul-99,F059,E625,S025,327.92,,,
4244_T3,02-Jul-99,D043,E650,S025,242.87,,,
4332_T3,20-Jul-99,F053,E650,S025,275.22,,,
4352_T3,28-Jul-99,F053,E675,S025,404.51,,,
4355_T3,31-Jul-99,D043,E675,S025,288.53,,,
4350_T3,24-Jul-99,F053,E700,S025,307.68,,,
3805_T3,26-Nov-98,D043,E700,S025,415.39,,,
4452_T3,21-Aug-99,F053,E725,S025,213.75,,,
3795_T3,24-Nov-98,D043,E725,S025,432.1,,,
5696_T3,08-Jul-00,F053,E750,S025,125.56,,,
3592_T3,11-Sep-98,D043,E750,S025,189.06,,,
2543_T3,15-Jul-97,E043,E750,S025,210.41,,,
2510_T3,15-Jul-97,E043,E775,S025,295.4,,,
3841_T3,18-Dec-98,D043,E775,S025,458.07,,,
2480_T3,12-Jul-97,E043,E800,S025,248.37,,,
3838_T3,16-Dec-98,D043,E800,S025,463.88,,,
2456_T3,07-Jul-97,E043,E825,S025,299.61,,,
3832_T3,15-Dec-98,D043,E825,S025,456.4,,,
2453_T3,01-Jul-97,E043,E850,S025,285.56,,,
2447_T3,30-Jun-97,E043,E875,S025,194.42,,,
2083_T3,21-Sep-96,E051,E000,S050,212.75,,,
3653_T3,28-Sep-98,D051,E000,S050,433.7,,,
548_T3_06,3-Jun-06,F061,E000,S050,264.96,,,
3688_T3,07-Oct-98,E051,E025,S050,471.99,,,
3601_T3,15-Sep-98,D051,E025,S050,453.25,,,
3591_T3,12-Sep-98,D051,E050,S050,449.28,,,
2080_T3,20-Sep-96,E051,E050,S050,240.31,,,
550_T3_06,5-Jun-06,F061,E050,S050,267.22,,,
3552_T3,03-Sep-98,D051,E075,S050,276.19,,,
